,Parameter,Value,Run,Type
0,mu,0.0008583483704192069,0,Estimation
1,h_mu,0.0002627146075985086,0,Estimation
2,nu,0.00275467698298874,0,Estimation
3,h_nu,-0.00012000580202969074,0,Estimation
4,b0,0.08515451409205577,0,Estimation
5,d0,0.04368080887028987,0,Estimation
6,d_d0,0.08618834200490497,0,Estimation
7,b1,0.05141127480411057,0,Estimation
8,d1,0.04855738491233471,0,Estimation
9,mu,0.0,1,Estimation
10,h_mu,0.000446587215599733,1,Estimation
11,nu,0.0063250510973085665,1,Estimation
12,h_nu,-0.00012071258373818171,1,Estimation
13,b0,0.09951511505786842,1,Estimation
14,d0,0.061001843384758586,1,Estimation
15,d_d0,0.0764550397437738,1,Estimation
16,b1,0.005099832388541406,1,Estimation
17,d1,0.005559740004583278,1,Estimation
18,mu,0.00024153386306243054,2,Estimation
19,h_mu,0.00035412152785680394,2,Estimation
20,nu,0.0020767626415847317,2,Estimation
21,h_nu,-0.002095650837949914,2,Estimation
22,b0,0.07024293627511817,2,Estimation
23,d0,0.02974544243212172,2,Estimation
24,d_d0,0.08035064693506022,2,Estimation
25,b1,0.051320658606304796,2,Estimation
26,d1,0.048676282725401664,2,Estimation
27,mu,0.0,3,Estimation
28,h_mu,0.0005532485065383681,3,Estimation
29,nu,0.006333677267444418,3,Estimation
30,h_nu,-0.0001266735610242225,3,Estimation
31,b0,0.0860850736107449,3,Estimation
32,d0,0.046922489300210174,3,Estimation
33,d_d0,0.07385322713511289,3,Estimation
34,b1,0.010664028037487897,3,Estimation
35,d1,0.012190817670475545,3,Estimation
36,mu,0.0,4,Estimation
37,h_mu,0.00039832308341168426,4,Estimation
38,nu,0.005674300428870381,4,Estimation
39,h_nu,-4.2397022306527326e-05,4,Estimation
40,b0,0.09999165985259734,4,Estimation
41,d0,0.060815848686952216,4,Estimation
42,d_d0,0.07838145424683682,4,Estimation
43,b1,0.07583987627894008,4,Estimation
44,d1,0.07540969650478861,4,Estimation
45,mu,0.0,5,Estimation
46,h_mu,0.00034729966171735937,5,Estimation
47,nu,0.002696957442565848,5,Estimation
48,h_nu,-5.393918412830304e-05,5,Estimation
49,b0,0.05039845048146826,5,Estimation
50,d0,0.010448927574616691,5,Estimation
51,d_d0,0.08140294197570812,5,Estimation
52,b1,0.05046434049493277,5,Estimation
53,d1,0.04845361138698097,5,Estimation
54,mu,0.0,6,Estimation
55,h_mu,0.0003218372949623075,6,Estimation
56,nu,0.003138331514890826,6,Estimation
57,h_nu,-0.1,6,Estimation
58,b0,0.04013708714395565,6,Estimation
59,d0,0.000402205695540175,6,Estimation
60,d_d0,0.0843493811630961,6,Estimation
61,b1,0.024790025181781427,6,Estimation
62,d1,0.022491034716559954,6,Estimation
63,mu,0.0010672969942148547,7,Estimation
64,h_mu,0.00038515267289644325,7,Estimation
65,nu,0.004060272295274433,7,Estimation
66,h_nu,-0.1,7,Estimation
67,b0,0.07105230384406357,7,Estimation
68,d0,0.028943390928721915,7,Estimation
69,d_d0,0.0818087463764828,7,Estimation
70,b1,0.08592745575325386,7,Estimation
71,d1,0.086137800489347,7,Estimation
72,mu,0.002118797333637604,8,Estimation
73,h_mu,0.0006267660709388184,8,Estimation
74,nu,0.009345760758149647,8,Estimation
75,h_nu,-0.0018691576835187492,8,Estimation
76,b0,0.05806217369357068,8,Estimation
77,d0,0.01585877336663961,8,Estimation
78,d_d0,0.07893836515752724,8,Estimation
79,b1,0.09250432211419955,8,Estimation
80,d1,0.09461618721971168,8,Estimation
81,mu,0.0015877787859402972,9,Estimation
82,h_mu,0.000329816771636002,9,Estimation
83,nu,0.0035506174471357237,9,Estimation
84,h_nu,-0.00017753274038090724,9,Estimation
85,b0,0.050506912239191154,9,Estimation
86,d0,0.008416938137411383,9,Estimation
87,d_d0,0.08356490776403619,9,Estimation
88,b1,0.050295870570347054,9,Estimation
89,d1,0.04964790713621468,9,Estimation
90,mu,0.0004,-1,True
91,h_mu,0.0004,-1,True
92,nu,0.004,-1,True
93,h_nu,-4e-05,-1,True
94,b0,0.04,-1,True
95,d0,0.0,-1,True
96,d_d0,0.08,-1,True
97,b1,0.001,-1,True
98,d1,0.0,-1,True
