,Parameter,Value,Run,Type
74,nu,0.006040142786181255,8,Estimation
75,h_nu,-0.00012080290665496747,8,Estimation
76,b0,0.09789974048011618,8,Estimation
77,d0,0.05853352842074875,8,Estimation
78,d_d0,0.07892612199904989,8,Estimation
79,b1,0.09394040186537404,8,Estimation
80,d1,0.09403856878412606,8,Estimation
81,mu,0.07943536697473465,9,Estimation
82,h_mu,0.06010503108047297,9,Estimation
83,nu,0.1,9,Estimation
84,h_nu,-0.09026517977875662,9,Estimation
85,b0,0.09089716597857746,9,Estimation
86,d0,0.015058524685652325,9,Estimation
87,d_d0,0.0564860509662579,9,Estimation
88,b1,0.06124944322946612,9,Estimation
89,d1,0.08478255051825359,9,Estimation
90,mu,0.0016961361489055188,10,Estimation
91,h_mu,0.0004754465299183346,10,Estimation
92,nu,0.01423133122451226,10,Estimation
93,h_nu,-0.0028462682237899153,10,Estimation
94,b0,0.09493620043182202,10,Estimation
95,d0,0.05409050449026858,10,Estimation
96,d_d0,0.08165205989423015,10,Estimation
97,b1,0.017711056684492296,10,Estimation
98,d1,0.016721803630609867,10,Estimation
99,mu,0.03860685515622133,11,Estimation
100,h_mu,0.05675068363120807,11,Estimation
101,nu,0.1,11,Estimation
102,h_nu,-0.1,11,Estimation
103,b0,0.1,11,Estimation
104,d0,0.03907522727847479,11,Estimation
105,d_d0,0.04374875944347354,11,Estimation
106,b1,0.06436750875938377,11,Estimation
107,d1,0.08733994485237954,11,Estimation
108,mu,0.0016834799974333472,12,Estimation
109,h_mu,0.0003006565457707048,12,Estimation
110,nu,0.0,12,Estimation
111,h_nu,-0.07505523928204953,12,Estimation
112,b0,0.08119437971604059,12,Estimation
113,d0,0.0399458770346873,12,Estimation
114,d_d0,0.08211468451418846,12,Estimation
115,b1,0.039744848983376865,12,Estimation
116,d1,0.0390828074561861,12,Estimation
117,mu,0.0015878043109184916,13,Estimation
118,h_mu,0.0005424135104606514,13,Estimation
119,nu,0.011092416493461052,13,Estimation
120,h_nu,-0.09668527829023245,13,Estimation
121,b0,0.08858462435922283,13,Estimation
122,d0,0.045181109517852015,13,Estimation
123,d_d0,0.08602769573768809,13,Estimation
124,b1,0.08576086270362225,13,Estimation
125,d1,0.08678483224500773,13,Estimation
126,mu,0.0,14,Estimation
127,h_mu,0.0005325782414250115,14,Estimation
128,nu,0.010313010598499584,14,Estimation
129,h_nu,-0.1,14,Estimation
130,b0,0.09980944350500329,14,Estimation
131,d0,0.05896957725621755,14,Estimation
132,d_d0,0.0842736640565766,14,Estimation
133,b1,0.027277087539209027,14,Estimation
134,d1,0.02530447720651225,14,Estimation
135,mu,0.021100057886349,15,Estimation
136,h_mu,0.06028413479181463,15,Estimation
137,nu,0.09914133686632515,15,Estimation
138,h_nu,-0.1,15,Estimation
139,b0,0.09614981371246485,15,Estimation
140,d0,0.04164521626465881,15,Estimation
141,d_d0,0.044644862981932563,15,Estimation
142,b1,0.0775768685921387,15,Estimation
143,d1,0.1,15,Estimation
144,mu,0.001360589111634241,16,Estimation
145,h_mu,0.0003905508131703167,16,Estimation
146,nu,0.0039385600921611995,16,Estimation
147,h_nu,-7.877131509432964e-05,16,Estimation
148,b0,0.09999171276570312,16,Estimation
149,d0,0.059232419870039105,16,Estimation
150,d_d0,0.08067349252075619,16,Estimation
151,b1,0.05851360659582045,16,Estimation
152,d1,0.05830575803461367,16,Estimation
153,mu,0.0,17,Estimation
154,h_mu,0.0005775284436686999,17,Estimation
155,nu,0.012841158582488568,17,Estimation
156,h_nu,-0.000881930057861887,17,Estimation
157,b0,0.040641100864287,17,Estimation
158,d0,0.0004548080591335135,17,Estimation
159,d_d0,0.0810131936471861,17,Estimation
160,b1,0.00276100637040718,17,Estimation
161,d1,0.00213304587806709,17,Estimation
162,mu,0.0011606987810125113,18,Estimation
163,h_mu,0.0005487252201587642,18,Estimation
164,nu,0.012295003376125347,18,Estimation
165,h_nu,-0.01453043922939353,18,Estimation
166,b0,0.096564365194048,18,Estimation
167,d0,0.054640554242631076,18,Estimation
168,d_d0,0.08398422879911172,18,Estimation
169,b1,0.07681031750473262,18,Estimation
170,d1,0.07621113904214658,18,Estimation
171,mu,0.03511148857874233,19,Estimation
172,h_mu,0.04009527947297442,19,Estimation
173,nu,0.1,19,Estimation
174,h_nu,-0.09697050755088409,19,Estimation
175,b0,0.1,19,Estimation
176,d0,0.042545440359368795,19,Estimation
177,d_d0,0.06034325837792815,19,Estimation
178,b1,0.0703745124621972,19,Estimation
179,d1,0.09204444533826485,19,Estimation
180,mu,0.001006442485286771,20,Estimation
181,h_mu,0.00037171186974292714,20,Estimation
182,nu,0.003455127734808134,20,Estimation
183,h_nu,-0.05712936793355392,20,Estimation
184,b0,0.09943670517119563,20,Estimation
185,d0,0.05742607453687918,20,Estimation
186,d_d0,0.0834845404042961,20,Estimation
187,b1,0.010451810580005197,20,Estimation
188,d1,0.009185170500057417,20,Estimation
189,mu,4.932899554519683e-05,21,Estimation
190,h_mu,0.0003455350665951792,21,Estimation
191,nu,0.0,21,Estimation
192,h_nu,-0.011720239667470057,21,Estimation
193,b0,0.09941054293437702,21,Estimation
194,d0,0.06009420544460321,21,Estimation
195,d_d0,0.07702563867555264,21,Estimation
196,b1,0.07945205279135426,21,Estimation
197,d1,0.07864217466262535,21,Estimation
198,mu,0.05820927606603777,22,Estimation
199,h_mu,0.08902067395138218,22,Estimation
200,nu,0.09369987569370704,22,Estimation
201,h_nu,-0.1,22,Estimation
202,b0,0.09875777132579042,22,Estimation
203,d0,0.017730052176029035,22,Estimation
204,d_d0,0.04588989457965869,22,Estimation
205,b1,0.020782651224520755,22,Estimation
206,d1,0.04884660811025169,22,Estimation
207,mu,0.06538083781201758,23,Estimation
208,h_mu,0.054085006822101635,23,Estimation
209,nu,0.1,23,Estimation
210,h_nu,-0.09952318598580291,23,Estimation
211,b0,0.09892040174306517,23,Estimation
212,d0,0.025783897825268316,23,Estimation
213,d_d0,0.04869729875604911,23,Estimation
214,b1,0.041025399438074726,23,Estimation
215,d1,0.06564188941809153,23,Estimation
216,mu,0.0005629888979226322,24,Estimation
217,h_mu,0.0003949154684239451,24,Estimation
218,nu,0.007382342327467537,24,Estimation
219,h_nu,-0.029169311131522054,24,Estimation
220,b0,0.09939326874883707,24,Estimation
221,d0,0.05905408085064,24,Estimation
222,d_d0,0.07954923738637643,24,Estimation
223,b1,0.09433530243178843,24,Estimation
224,d1,0.0930955141715469,24,Estimation
225,mu,0.0016651677189362412,25,Estimation
226,h_mu,0.00048736795357414597,25,Estimation
227,nu,0.009690784651232107,25,Estimation
228,h_nu,-0.00017527466966318878,25,Estimation
229,b0,0.08546604655312431,25,Estimation
230,d0,0.04346584336252498,25,Estimation
231,d_d0,0.08611388860623617,25,Estimation
232,b1,0.0971547493850906,25,Estimation
233,d1,0.09555920061065362,25,Estimation
234,mu,0.0004586638211164777,26,Estimation
235,h_mu,0.0006398056921526689,26,Estimation
236,nu,0.0188090058266845,26,Estimation
237,h_nu,-0.1,26,Estimation
238,b0,0.07605446544537145,26,Estimation
239,d0,0.036047526146482725,26,Estimation
240,d_d0,0.08230257935656234,26,Estimation
241,b1,0.023280549711726516,26,Estimation
242,d1,0.022571472953885584,26,Estimation
243,mu,0.08539613784088576,27,Estimation
244,h_mu,0.029571855656114393,27,Estimation
245,nu,0.1,27,Estimation
246,h_nu,-0.08377314242276761,27,Estimation
247,b0,0.0906522821870452,27,Estimation
248,d0,0.01669949366446061,27,Estimation
249,d_d0,0.07301107357914582,27,Estimation
250,b1,0.0313379682508452,27,Estimation
251,d1,0.05406482318560696,27,Estimation
252,mu,0.0,28,Estimation
253,h_mu,0.0003276779222868926,28,Estimation
254,nu,0.0,28,Estimation
255,h_nu,-0.08332974488458807,28,Estimation
256,b0,0.0964220567766854,28,Estimation
257,d0,0.05682664554864677,28,Estimation
258,d_d0,0.07819862207193483,28,Estimation
259,b1,0.08356539045984264,28,Estimation
260,d1,0.08329906655335673,28,Estimation
261,mu,0.0,29,Estimation
262,h_mu,0.0003749542049966306,29,Estimation
263,nu,0.0018549796519080975,29,Estimation
264,h_nu,-0.016297475093471427,29,Estimation
265,b0,0.09705008615487541,29,Estimation
266,d0,0.057790383319423294,29,Estimation
267,d_d0,0.07831856583742232,29,Estimation
268,b1,0.09940532122344761,29,Estimation
269,d1,0.09775736363540977,29,Estimation
270,mu,0.09998951422736324,30,Estimation
271,h_mu,0.09999472052071778,30,Estimation
272,nu,0.05031602660546999,30,Estimation
273,h_nu,-0.1,30,Estimation
274,b0,0.1,30,Estimation
275,d0,0.032546735968856454,30,Estimation
276,d_d0,0.04499583431714626,30,Estimation
277,b1,0.07044231524730095,30,Estimation
278,d1,0.08145324624906199,30,Estimation
279,mu,0.002233512177135626,31,Estimation
280,h_mu,0.005191220845566146,31,Estimation
281,nu,0.1,31,Estimation
282,h_nu,-0.1,31,Estimation
283,b0,0.09965098114358617,31,Estimation
284,d0,0.05745474022107603,31,Estimation
285,d_d0,0.08145502300502591,31,Estimation
286,b1,0.08479003606006996,31,Estimation
287,d1,0.09989646869829304,31,Estimation
288,mu,0.016290205172688834,32,Estimation
289,h_mu,0.0005127405333622791,32,Estimation
290,nu,0.04116281415437571,32,Estimation
291,h_nu,-0.002184470818475417,32,Estimation
292,b0,0.05301097197652068,32,Estimation
293,d0,0.007484960731931132,32,Estimation
294,d_d0,0.0906046710556026,32,Estimation
295,b1,0.09706816204081146,32,Estimation
296,d1,0.0999998578161967,32,Estimation
297,mu,0.0005259396400211616,33,Estimation
298,h_mu,0.0005877241277504669,33,Estimation
299,nu,0.014401935925831269,33,Estimation
300,h_nu,-0.07050745171963643,33,Estimation
301,b0,0.09186528679731423,33,Estimation
302,d0,0.0514299571054853,33,Estimation
303,d_d0,0.08328552265637525,33,Estimation
304,b1,0.0928163232977816,33,Estimation
305,d1,0.09101493611376542,33,Estimation
306,mu,0.0007030596785407029,34,Estimation
307,h_mu,0.0003381369547615802,34,Estimation
308,nu,0.002229102245221914,34,Estimation
309,h_nu,-0.1,34,Estimation
310,b0,0.08543336265433195,34,Estimation
311,d0,0.04591927725421163,34,Estimation
312,d_d0,0.07989020359969759,34,Estimation
313,b1,0.05936889543804059,34,Estimation
314,d1,0.058358312174534716,34,Estimation
315,mu,3.7753165237092024e-05,35,Estimation
316,h_mu,0.0003035204027219213,35,Estimation
317,nu,0.000401850722261065,35,Estimation
318,h_nu,-0.1,35,Estimation
319,b0,0.09012491513657696,35,Estimation
320,d0,0.05093269892587861,35,Estimation
321,d_d0,0.07639866509016775,35,Estimation
322,b1,0.06407836393700297,35,Estimation
323,d1,0.06273357603949832,35,Estimation
324,mu,0.0010320298566901382,36,Estimation
325,h_mu,0.0005615898803262609,36,Estimation
326,nu,0.011189699602107335,36,Estimation
327,h_nu,-0.1,36,Estimation
328,b0,0.0909629013094463,36,Estimation
329,d0,0.04817563700449943,36,Estimation
330,d_d0,0.08602323419710124,36,Estimation
331,b1,0.00037162738518423344,36,Estimation
332,d1,0.0005363600151872303,36,Estimation
333,mu,0.008362492323994459,37,Estimation
334,h_mu,0.00787177585323107,37,Estimation
335,nu,0.1,37,Estimation
336,h_nu,-0.1,37,Estimation
337,b0,0.0803779352319389,37,Estimation
338,d0,0.039432033995750605,37,Estimation
339,d_d0,0.0658009129509231,37,Estimation
340,b1,0.051320307478584126,37,Estimation
341,d1,0.07038359637264384,37,Estimation
342,mu,0.0009436474876526677,38,Estimation
343,h_mu,0.0005175137684568867,38,Estimation
344,nu,0.0122095986380664,38,Estimation
345,h_nu,-0.1,38,Estimation
346,b0,0.09320089901855107,38,Estimation
347,d0,0.05229089489893405,38,Estimation
348,d_d0,0.08364753014867192,38,Estimation
349,b1,0.07424474447513497,38,Estimation
350,d1,0.07291523157509687,38,Estimation
351,mu,0.031559883128626266,39,Estimation
352,h_mu,0.03914396523724633,39,Estimation
353,nu,0.1,39,Estimation
354,h_nu,-0.09813946521655016,39,Estimation
355,b0,0.07834077103483346,39,Estimation
356,d0,0.02421344413971073,39,Estimation
357,d_d0,0.05722576121374909,39,Estimation
358,b1,0.07383069346730724,39,Estimation
359,d1,0.09445863706266579,39,Estimation
360,mu,0.07692961289520567,40,Estimation
361,h_mu,0.08757268277099538,40,Estimation
362,nu,0.08951558500658917,40,Estimation
363,h_nu,-0.1,40,Estimation
364,b0,0.1,40,Estimation
365,d0,0.013221074651040726,40,Estimation
366,d_d0,0.034000892700610054,40,Estimation
367,b1,0.0016352750770973186,40,Estimation
368,d1,0.028542072258309195,40,Estimation
369,mu,0.07354061857371647,41,Estimation
370,h_mu,0.062399503951406865,41,Estimation
371,nu,0.1,41,Estimation
372,h_nu,-0.09489346828570236,41,Estimation
373,b0,0.09509579064530503,41,Estimation
374,d0,0.0206370803662899,41,Estimation
375,d_d0,0.04402483664368481,41,Estimation
376,b1,0.07582331038113357,41,Estimation
377,d1,0.1,41,Estimation
378,mu,0.07309999001869687,42,Estimation
379,h_mu,0.023553561475298156,42,Estimation
380,nu,0.1,42,Estimation
381,h_nu,-0.1,42,Estimation
382,b0,0.1,42,Estimation
383,d0,0.028146658431909614,42,Estimation
384,d_d0,0.05947529237662633,42,Estimation
385,b1,0.06598078567452918,42,Estimation
386,d1,0.09032781930422949,42,Estimation
387,mu,0.001222575650320822,43,Estimation
388,h_mu,0.0006274012962386863,43,Estimation
389,nu,0.018150342177621417,43,Estimation
390,h_nu,-0.1,43,Estimation
391,b0,0.07879937146540611,43,Estimation
392,d0,0.03638757747084956,43,Estimation
393,d_d0,0.088372779776484,43,Estimation
394,b1,0.08406668214211815,43,Estimation
395,d1,0.08266095560227033,43,Estimation
396,mu,0.028339398402335715,44,Estimation
397,h_mu,0.004008956787120194,44,Estimation
398,nu,0.1,44,Estimation
399,h_nu,-0.09830296614277116,44,Estimation
400,b0,0.1,44,Estimation
401,d0,0.04893083525678115,44,Estimation
402,d_d0,0.08054845540801393,44,Estimation
403,b1,0.08064302191055313,44,Estimation
404,d1,0.09971309668413511,44,Estimation
405,mu,0.04095057020123063,45,Estimation
406,h_mu,0.06805027775782561,45,Estimation
407,nu,0.1,45,Estimation
408,h_nu,-0.09995299042623708,45,Estimation
409,b0,0.1,45,Estimation
410,d0,0.03677822920482114,45,Estimation
411,d_d0,0.03820139452211133,45,Estimation
412,b1,0.07520388339809538,45,Estimation
413,d1,0.09898827744327829,45,Estimation
414,mu,0.0,46,Estimation
415,h_mu,0.000492302204274884,46,Estimation
416,nu,0.009733300572828611,46,Estimation
417,h_nu,-0.0019466652006503906,46,Estimation
418,b0,0.058409868170248874,46,Estimation
419,d0,0.01756645746452867,46,Estimation
420,d_d0,0.08356276363643755,46,Estimation
421,b1,0.08033890190780771,46,Estimation
422,d1,0.07799753482768543,46,Estimation
423,mu,0.0,47,Estimation
424,h_mu,0.000432347800465697,47,Estimation
425,nu,0.0094399851255656,47,Estimation
426,h_nu,-0.08091456077096613,47,Estimation
427,b0,0.09905674692601703,47,Estimation
428,d0,0.060735226142239536,47,Estimation
429,d_d0,0.07532097666862708,47,Estimation
430,b1,0.09983996871605187,47,Estimation
431,d1,0.09997795282210593,47,Estimation
432,mu,0.024546974121256362,48,Estimation
433,h_mu,0.0009062645398924784,48,Estimation
434,nu,0.08242993792666375,48,Estimation
435,h_nu,-0.016414006508125283,48,Estimation
436,b0,0.09999979726289676,48,Estimation
437,d0,0.05288129799558123,48,Estimation
438,d_d0,0.08888362128944567,48,Estimation
439,b1,0.0,48,Estimation
440,d1,0.009218238064888414,48,Estimation
441,mu,0.0006111009918284981,49,Estimation
442,h_mu,0.00042397029693318493,49,Estimation
443,nu,0.005554513642376744,49,Estimation
444,h_nu,-0.016965477270314586,49,Estimation
445,b0,0.07706080263465395,49,Estimation
446,d0,0.03405359558070438,49,Estimation
447,d_d0,0.0873939616735491,49,Estimation
448,b1,0.06118955435423589,49,Estimation
449,d1,0.059396873181277586,49,Estimation
450,mu,0.0008544930081585189,50,Estimation
451,h_mu,0.00039212709124129174,50,Estimation
452,nu,0.002395638268242639,50,Estimation
453,h_nu,-0.015194014223903454,50,Estimation
454,b0,0.09993030762240063,50,Estimation
455,d0,0.057989442850395354,50,Estimation
456,d_d0,0.08425862924787934,50,Estimation
457,b1,0.09338945306289846,50,Estimation
458,d1,0.09325586938783734,50,Estimation
459,mu,0.0,51,Estimation
460,h_mu,0.0003534508363911309,51,Estimation
461,nu,0.0037904534992624687,51,Estimation
462,h_nu,-0.1,51,Estimation
463,b0,0.09445948903967084,51,Estimation
464,d0,0.057792481496547025,51,Estimation
465,d_d0,0.07305066732496747,51,Estimation
466,b1,0.0021853767322082157,51,Estimation
467,d1,0.0017065878983832422,51,Estimation
468,mu,0.026585184499872575,52,Estimation
469,h_mu,0.05497424673763823,52,Estimation
470,nu,0.1,52,Estimation
471,h_nu,-0.0963629313546461,52,Estimation
472,b0,0.08185578539127679,52,Estimation
473,d0,0.023325593043666274,52,Estimation
474,d_d0,0.05618833063990387,52,Estimation
475,b1,0.07686662870949784,52,Estimation
476,d1,0.09985369657841002,52,Estimation
477,mu,0.0,53,Estimation
478,h_mu,0.0003412410762181033,53,Estimation
479,nu,0.0,53,Estimation
480,h_nu,-0.023124072201934152,53,Estimation
481,b0,0.09887089367983486,53,Estimation
482,d0,0.05858540727566663,53,Estimation
483,d_d0,0.07950911353980569,53,Estimation
484,b1,0.006013379334526173,53,Estimation
485,d1,0.0058876742836970275,53,Estimation
486,mu,1.885442255659703e-05,54,Estimation
487,h_mu,0.00033104768451019414,54,Estimation
488,nu,0.0025597536288006384,54,Estimation
489,h_nu,-0.1,54,Estimation
490,b0,0.08631068242458283,54,Estimation
491,d0,0.04718734129877192,54,Estimation
492,d_d0,0.07835197774305126,54,Estimation
493,b1,0.02874861100862231,54,Estimation
494,d1,0.02729276263857264,54,Estimation
495,mu,0.0824453065215332,55,Estimation
496,h_mu,0.08720864497059604,55,Estimation
497,nu,0.08486279492131277,55,Estimation
498,h_nu,-0.1,55,Estimation
499,b0,0.09825505107693211,55,Estimation
500,d0,0.009066528002900153,55,Estimation
501,d_d0,0.03982415493100615,55,Estimation
502,b1,0.00017463521522463336,55,Estimation
503,d1,0.02597970971281717,55,Estimation
504,mu,0.09136966922425192,56,Estimation
505,h_mu,0.09516437620915803,56,Estimation
506,nu,0.057807861895425396,56,Estimation
507,h_nu,-0.1,56,Estimation
508,b0,0.1,56,Estimation
509,d0,0.04658077323777217,56,Estimation
510,d_d0,0.0545512304357149,56,Estimation
511,b1,0.07054850514747911,56,Estimation
512,d1,0.0768574577537085,56,Estimation
513,mu,0.0018028546757880427,57,Estimation
514,h_mu,0.0005646190915223639,57,Estimation
515,nu,0.00979548671305418,57,Estimation
516,h_nu,-0.018418237483996305,57,Estimation
517,b0,0.09962710101626668,57,Estimation
518,d0,0.05436695058587769,57,Estimation
519,d_d0,0.09041767184678186,57,Estimation
520,b1,0.08942289043053486,57,Estimation
521,d1,0.08914336917875168,57,Estimation
522,mu,0.04023383093203561,58,Estimation
523,h_mu,0.051530028815499944,58,Estimation
524,nu,0.1,58,Estimation
525,h_nu,-0.1,58,Estimation
526,b0,0.0999431383972737,58,Estimation
527,d0,0.03620172972806096,58,Estimation
528,d_d0,0.05201687422005282,58,Estimation
529,b1,0.07089249588599887,58,Estimation
530,d1,0.09508352008676527,58,Estimation
531,mu,0.0033532223727250707,59,Estimation
532,h_mu,0.0010305929195440911,59,Estimation
533,nu,0.033413844870861985,59,Estimation
534,h_nu,-0.006682772062750234,59,Estimation
535,b0,0.0988790294588418,59,Estimation
536,d0,0.053805464389905897,59,Estimation
537,d_d0,0.08958957176048331,59,Estimation
538,b1,0.09272112217758312,59,Estimation
539,d1,0.09569717160333943,59,Estimation
540,mu,0.0,60,Estimation
541,h_mu,0.00036351265041808536,60,Estimation
542,nu,0.0007929872831894076,60,Estimation
543,h_nu,-0.1,60,Estimation
544,b0,0.0821529729625687,60,Estimation
545,d0,0.041969252079568774,60,Estimation
546,d_d0,0.07973021652389396,60,Estimation
547,b1,0.08731123814765762,60,Estimation
548,d1,0.08625835486795055,60,Estimation
549,mu,0.0005684926170672701,61,Estimation
550,h_mu,0.0005179270784357043,61,Estimation
551,nu,0.011203184428464146,61,Estimation
552,h_nu,-0.05007958428595613,61,Estimation
553,b0,0.08215173977496429,61,Estimation
554,d0,0.04053713662310734,61,Estimation
555,d_d0,0.08557097836504658,61,Estimation
556,b1,0.09999999680964108,61,Estimation
557,d1,0.09869155103093236,61,Estimation
558,mu,0.0,62,Estimation
559,h_mu,0.00043684912850898574,62,Estimation
560,nu,0.00871397499521312,62,Estimation
561,h_nu,-0.03673886140447535,62,Estimation
562,b0,0.09999984390760476,62,Estimation
563,d0,0.061290552853766944,62,Estimation
564,d_d0,0.07756869396987574,62,Estimation
565,b1,0.01418474857071094,62,Estimation
566,d1,0.013067560452546766,62,Estimation
567,mu,0.035808064554333614,63,Estimation
568,h_mu,0.07797509372394938,63,Estimation
569,nu,0.09989846543326619,63,Estimation
570,h_nu,-0.1,63,Estimation
571,b0,0.08220547913388761,63,Estimation
572,d0,0.017791439567093646,63,Estimation
573,d_d0,0.042012650437423735,63,Estimation
574,b1,0.007651773680899226,63,Estimation
575,d1,0.03311092203692473,63,Estimation
576,mu,0.0007789457242275718,64,Estimation
577,h_mu,0.0003741350869352343,64,Estimation
578,nu,0.002736844469024502,64,Estimation
579,h_nu,-3.649514638200959e-05,64,Estimation
580,b0,0.09727044139476508,64,Estimation
581,d0,0.05686892848483241,64,Estimation
582,d_d0,0.08184185645394394,64,Estimation
583,b1,0.03640417166400945,64,Estimation
584,d1,0.035099134338446164,64,Estimation
585,mu,0.001748622692644275,65,Estimation
586,h_mu,0.006493353139026387,65,Estimation
587,nu,0.1,65,Estimation
588,h_nu,-0.0999964128287113,65,Estimation
589,b0,0.1,65,Estimation
590,d0,0.062005729745021894,65,Estimation
591,d_d0,0.06730512423722566,65,Estimation
592,b1,0.06387233502963333,65,Estimation
593,d1,0.08114309065974898,65,Estimation
594,mu,0.06764235561988588,66,Estimation
595,h_mu,0.018201771153300916,66,Estimation
596,nu,0.0978900206848059,66,Estimation
597,h_nu,-0.09409959824163065,66,Estimation
598,b0,0.0998096887146938,66,Estimation
599,d0,0.026070521202925464,66,Estimation
600,d_d0,0.09010293469929459,66,Estimation
601,b1,0.03149832283301811,66,Estimation
602,d1,0.05530189170577122,66,Estimation
603,mu,0.013998839010598391,67,Estimation
604,h_mu,0.0597210544575599,67,Estimation
605,nu,0.1,67,Estimation
606,h_nu,-0.1,67,Estimation
607,b0,0.09953089035850073,67,Estimation
608,d0,0.04600834541695266,67,Estimation
609,d_d0,0.05872269286971891,67,Estimation
610,b1,0.016164288317215444,67,Estimation
611,d1,0.03788183046560796,67,Estimation
612,mu,0.0,68,Estimation
613,h_mu,0.0002929337647843264,68,Estimation
614,nu,0.0,68,Estimation
615,h_nu,-0.1,68,Estimation
616,b0,0.03783979422290777,68,Estimation
617,d0,8.177151578474064e-08,68,Estimation
618,d_d0,0.07477519005725604,68,Estimation
619,b1,0.000849776564982658,68,Estimation
620,d1,0.00017579993193036358,68,Estimation
621,mu,0.0,69,Estimation
622,h_mu,0.00032659053259813424,69,Estimation
623,nu,0.001347674893891168,69,Estimation
624,h_nu,-0.1,69,Estimation
625,b0,0.09320089026101872,69,Estimation
626,d0,0.05493375949366747,69,Estimation
627,d_d0,0.07537636762700393,69,Estimation
628,b1,0.0940502203860546,69,Estimation
629,d1,0.09302751981381827,69,Estimation
630,mu,0.014050172575447904,70,Estimation
631,h_mu,0.009733780926634347,70,Estimation
632,nu,0.1,70,Estimation
633,h_nu,-0.1,70,Estimation
634,b0,0.0829575732180451,70,Estimation
635,d0,0.03703771889782398,70,Estimation
636,d_d0,0.0739260514721572,70,Estimation
637,b1,0.0810562565446241,70,Estimation
638,d1,0.1,70,Estimation
639,mu,0.0,71,Estimation
640,h_mu,0.0005568255795092343,71,Estimation
641,nu,0.009499401116378538,71,Estimation
642,h_nu,-0.1,71,Estimation
643,b0,0.09832188564925702,71,Estimation
644,d0,0.056673129910021144,71,Estimation
645,d_d0,0.08577680875617776,71,Estimation
646,b1,0.09543939568922756,71,Estimation
647,d1,0.09473759816057797,71,Estimation
648,mu,0.000951379324074105,72,Estimation
649,h_mu,0.00031943691385957236,72,Estimation
650,nu,0.0,72,Estimation
651,h_nu,-0.1,72,Estimation
652,b0,0.07274451596734846,72,Estimation
653,d0,0.03199391612784043,72,Estimation
654,d_d0,0.07976960256765125,72,Estimation
655,b1,0.03605901196409873,72,Estimation
656,d1,0.03661485507195503,72,Estimation
