,Parameter,Value,Run,Type
0,mu,0.027250928562364867,0,Estimation
1,h_mu,0.0025362495136582613,0,Estimation
2,nu,0.1,0,Estimation
3,h_nu,-0.09593249890041369,0,Estimation
4,b0,0.08149918324431564,0,Estimation
5,d0,0.027709592237855588,0,Estimation
6,d_d0,0.09445153640019581,0,Estimation
7,b1,0.0,0,Estimation
8,d1,0.017081058757390046,0,Estimation
9,mu,0.0,1,Estimation
10,h_mu,0.0003102120681198157,1,Estimation
11,nu,0.0,1,Estimation
12,h_nu,-0.1,1,Estimation
13,b0,0.09997893084626713,1,Estimation
14,d0,0.06225688891682201,1,Estimation
15,d_d0,0.07158085358560697,1,Estimation
16,b1,0.000190868995134502,1,Estimation
17,d1,0.0014652097479206777,1,Estimation
18,mu,0.09257513455313908,2,Estimation
19,h_mu,0.09572663995828556,2,Estimation
20,nu,0.05563035933842135,2,Estimation
21,h_nu,-0.1,2,Estimation
22,b0,0.1,2,Estimation
23,d0,0.04433327351653441,2,Estimation
24,d_d0,0.05233911304725466,2,Estimation
25,b1,0.06852131287463634,2,Estimation
26,d1,0.07489785511445768,2,Estimation
27,mu,0.002183329261252284,3,Estimation
28,h_mu,0.0005566491259006141,3,Estimation
29,nu,0.011902703794768883,3,Estimation
30,h_nu,-0.06631824080486562,3,Estimation
31,b0,0.09155732570741174,3,Estimation
32,d0,0.049286054430060164,3,Estimation
33,d_d0,0.08551349242410183,3,Estimation
34,b1,0.03093977021331317,3,Estimation
35,d1,0.030355380382678845,3,Estimation
36,mu,0.0,4,Estimation
37,h_mu,0.00038831598981820935,4,Estimation
38,nu,0.00172058784983743,4,Estimation
39,h_nu,-0.06671997854716835,4,Estimation
40,b0,0.1,4,Estimation
41,d0,0.059125700971295034,4,Estimation
42,d_d0,0.08269419983769154,4,Estimation
43,b1,0.053233068420047304,4,Estimation
44,d1,0.05299094436343167,4,Estimation
45,mu,0.08441945882875217,5,Estimation
46,h_mu,0.006534019962212527,5,Estimation
47,nu,0.1,5,Estimation
48,h_nu,-0.08113593945654714,5,Estimation
49,b0,0.09889913661893812,5,Estimation
50,d0,0.020276653309470902,5,Estimation
51,d_d0,0.1,5,Estimation
52,b1,0.06969296565671106,5,Estimation
53,d1,0.09440449614641049,5,Estimation
54,mu,0.050949328262038344,6,Estimation
55,h_mu,0.06182049013353609,6,Estimation
56,nu,0.1,6,Estimation
57,h_nu,-0.09434406078445785,6,Estimation
58,b0,0.08248977741507088,6,Estimation
59,d0,0.017508110850084874,6,Estimation
60,d_d0,0.04301767854513121,6,Estimation
61,b1,0.07677407247727627,6,Estimation
62,d1,0.09968818480538345,6,Estimation
63,mu,0.0012601042443608484,7,Estimation
64,h_mu,0.0004044325435021069,7,Estimation
65,nu,0.005586029536756205,7,Estimation
66,h_nu,-0.0011172062732428345,7,Estimation
67,b0,0.09405234753167956,7,Estimation
68,d0,0.0526299867035459,7,Estimation
69,d_d0,0.083708151918813,7,Estimation
70,b1,0.08436932302798734,7,Estimation
71,d1,0.08386121545859605,7,Estimation
72,mu,0.0006805939104627156,8,Estimation
73,h_mu,0.0003942190095986371,8,Estimation
