Parameter,Value,Run,Type
mu,0.0006520625599102009,0,Estimation
h_mu,3.5019604000719575e-05,0,Estimation
nu,0.004843274341123832,0,Estimation
h_nu,-0.00014410978947179578,0,Estimation
b0,0.0699502104355761,0,Estimation
d0,0.030040235861770966,0,Estimation
d_d0,0.07954028628614836,0,Estimation
b1,0.08366807989016127,0,Estimation
d1,0.08324044137488924,0,Estimation
mu,0.0,1,Estimation
h_mu,4.656896706760112e-05,1,Estimation
nu,0.003465644567920699,1,Estimation
h_nu,-2.873247320139594e-05,1,Estimation
b0,0.06959323904120367,1,Estimation
d0,0.030396198558291898,1,Estimation
d_d0,0.07835256826848847,1,Estimation
b1,0.08989400770388832,1,Estimation
d1,0.08877319241108847,1,Estimation
mu,0.000310166201972971,2,Estimation
h_mu,3.4310929140902626e-05,2,Estimation
nu,0.0039052792010969605,2,Estimation
h_nu,-5.00890719368059e-05,2,Estimation
b0,0.06996236734164293,2,Estimation
d0,0.030029864828385294,2,Estimation
d_d0,0.07907440041657912,2,Estimation
b1,0.08673247138822884,2,Estimation
d1,0.08549435084991107,2,Estimation
mu,0.0,3,Estimation
h_mu,5.800041144022511e-05,3,Estimation
nu,0.005565209821402642,3,Estimation
h_nu,-0.0007237148086464844,3,Estimation
b0,0.06938190067447694,3,Estimation
d0,0.03061205254523569,3,Estimation
d_d0,0.07571233292984285,3,Estimation
b1,0.0862154596208968,3,Estimation
d1,0.08690486094159447,3,Estimation
mu,0.0,4,Estimation
h_mu,4.0167950432282284e-05,4,Estimation
nu,0.006807107521009632,4,Estimation
h_nu,-0.1,4,Estimation
b0,0.03882558963513245,4,Estimation
d0,1.623018736544548e-05,4,Estimation
d_d0,0.07552974900991896,4,Estimation
b1,0.04996066793291392,4,Estimation
d1,0.05010276528226507,4,Estimation
mu,0.0,5,Estimation
h_mu,4.774826042645444e-05,5,Estimation
nu,0.00594801554663772,5,Estimation
h_nu,-0.1,5,Estimation
b0,0.03911623225860193,5,Estimation
d0,2.6997385917983168e-06,5,Estimation
d_d0,0.07709957355087678,5,Estimation
b1,0.049942711115790295,5,Estimation
d1,0.04998992416097415,5,Estimation
mu,0.0,6,Estimation
h_mu,4.147343754192154e-05,6,Estimation
nu,0.006148191361092867,6,Estimation
h_nu,-0.07500838081213027,6,Estimation
b0,0.09999196554262016,6,Estimation
d0,0.06045844151180394,6,Estimation
d_d0,0.07907492993610854,6,Estimation
b1,0.049176512369041116,6,Estimation
d1,0.04970104389283288,6,Estimation
mu,0.0005240958305247275,7,Estimation
h_mu,3.936162813928028e-05,7,Estimation
nu,0.003991977292860104,7,Estimation
h_nu,-4.8495258919044424e-05,7,Estimation
