Parameter,Value,Run,Type
mu,0.0,0,Estimation
h_mu,6.294219951371541e-05,0,Estimation
nu,0.007674081590119713,0,Estimation
h_nu,-0.1,0,Estimation
b0,0.04759469817951595,0,Estimation
d0,0.00824808634038187,0,Estimation
d_d0,0.07789797212480912,0,Estimation
b1,0.04928813505546602,0,Estimation
d1,0.0506726229077291,0,Estimation
mu,0.0,1,Estimation
h_mu,3.961425759576162e-05,1,Estimation
nu,0.003750753746353586,1,Estimation
h_nu,-3.4236339909388866e-05,1,Estimation
b0,0.09757257859899146,1,Estimation
d0,0.05845623444498332,1,Estimation
d_d0,0.0792408139987413,1,Estimation
b1,0.050343251797474335,1,Estimation
d1,0.049223370831622607,1,Estimation
mu,0.00045598422971915715,2,Estimation
h_mu,4.5241812300413845e-05,2,Estimation
nu,0.004280633604456501,2,Estimation
h_nu,-0.0001490872026633685,2,Estimation
b0,0.07015682121901562,2,Estimation
d0,0.029817857406385442,2,Estimation
d_d0,0.08105695263248125,2,Estimation
b1,0.012941588558728515,2,Estimation
d1,0.012815457403885202,2,Estimation
mu,0.0,3,Estimation
h_mu,6.503678036443004e-05,3,Estimation
nu,0.00613349858601888,3,Estimation
h_nu,-0.0010455228378492129,3,Estimation
b0,0.08460150049288016,3,Estimation
d0,0.044922541056610164,3,Estimation
d_d0,0.07924010944963218,3,Estimation
b1,0.04904136227966539,3,Estimation
d1,0.05036703086706196,3,Estimation
mu,0.00021772111374664723,4,Estimation
h_mu,3.911939779833389e-05,4,Estimation
nu,0.004121888072868525,4,Estimation
h_nu,-3.7443684174827226e-05,4,Estimation
b0,0.07017398215741916,4,Estimation
d0,0.029802278790766672,4,Estimation
d_d0,0.0812944936102971,4,Estimation
b1,0.020251000632994433,4,Estimation
d1,0.019059753990160407,4,Estimation
mu,0.0,5,Estimation
h_mu,4.6271217636127454e-05,5,Estimation
nu,0.0035855245914053193,5,Estimation
h_nu,-2.917789564793573e-05,5,Estimation
b0,0.0999999570434709,5,Estimation
d0,0.05962159876620985,5,Estimation
d_d0,0.08201131644004094,5,Estimation
b1,0.05004209616068773,5,Estimation
d1,0.04889882028949136,5,Estimation
mu,0.0004789439084953337,6,Estimation
h_mu,4.3463776324959186e-05,6,Estimation
nu,0.003609900083244599,6,Estimation
h_nu,-3.6099346621314646e-05,6,Estimation
b0,0.06995352383859949,6,Estimation
d0,0.030024815545896776,6,Estimation
d_d0,0.08002654109123554,6,Estimation
b1,0.09999349616494059,6,Estimation
d1,0.09926387387639041,6,Estimation
mu,0.0,7,Estimation
h_mu,7.090468956909498e-05,7,Estimation
nu,0.00638715365911188,7,Estimation
h_nu,-0.1,7,Estimation
b0,0.04505219872138363,7,Estimation
d0,0.005249796631569641,7,Estimation
d_d0,0.07974077785046273,7,Estimation
b1,0.04921367327307837,7,Estimation
d1,0.05075839517350562,7,Estimation
mu,0.0,8,Estimation
h_mu,8.840000714603376e-05,8,Estimation
nu,0.007040040016863931,8,Estimation
h_nu,-0.08377822630533208,8,Estimation
b0,0.04859019614304444,8,Estimation
d0,0.008835612011141426,8,Estimation
d_d0,0.07780726818449395,8,Estimation
b1,0.0489868856840132,8,Estimation
d1,0.05079336258287472,8,Estimation
mu,0.0,9,Estimation
h_mu,6.558509344836098e-05,9,Estimation
nu,0.004470538126892713,9,Estimation
h_nu,-0.0007470642338134329,9,Estimation
b0,0.06968729264316736,9,Estimation
d0,0.03031253771682327,9,Estimation
d_d0,0.07832528909094319,9,Estimation
b1,0.047604758432283824,9,Estimation
d1,0.048764447343548706,9,Estimation
mu,0.0,10,Estimation
h_mu,6.648680330311682e-05,10,Estimation
nu,0.006175421055980295,10,Estimation
h_nu,-0.008607761911865203,10,Estimation
b0,0.06963206129935925,10,Estimation
d0,0.030364476393481867,10,Estimation
d_d0,0.07871021915680496,10,Estimation
b1,0.09833750667519894,10,Estimation
d1,0.09994809628079297,10,Estimation
mu,0.0,11,Estimation
h_mu,5.31925673753091e-05,11,Estimation
nu,0.007400718272786288,11,Estimation
h_nu,-0.001235706330470348,11,Estimation
b0,0.06960172174864696,11,Estimation
d0,0.03039755584570808,11,Estimation
d_d0,0.07801816370409326,11,Estimation
b1,0.00011215890427452277,11,Estimation
d1,0.001254524413805517,11,Estimation
mu,0.0008699587956834098,12,Estimation
h_mu,5.310361297084502e-05,12,Estimation
nu,0.005004333709497239,12,Estimation
h_nu,-0.00028523849801455483,12,Estimation
b0,0.07027013108844436,12,Estimation
d0,0.029756012596692374,12,Estimation
d_d0,0.0794088940374918,12,Estimation
b1,0.031188716995925344,12,Estimation
d1,0.03177529739534675,12,Estimation
mu,0.0005540903623074319,13,Estimation
h_mu,3.79588350317885e-05,13,Estimation
nu,0.00373946159617429,13,Estimation
h_nu,-3.7394615961650204e-05,13,Estimation
b0,0.09999226242614465,13,Estimation
d0,0.05942363409176111,13,Estimation
d_d0,0.08170583194198701,13,Estimation
b1,0.048788719456421034,13,Estimation
d1,0.048019347965678465,13,Estimation
mu,0.00017249182214524778,14,Estimation
h_mu,2.943114855708227e-05,14,Estimation
nu,0.003716207380708478,14,Estimation
h_nu,-3.8326574062454045e-05,14,Estimation
b0,0.0699802326480702,14,Estimation
d0,0.03001636616569382,14,Estimation
d_d0,0.08016224918766317,14,Estimation
b1,0.09096755378013147,14,Estimation
d1,0.08974848963878923,14,Estimation
mu,0.0,15,Estimation
h_mu,6.791479497152452e-05,15,Estimation
nu,0.007601672316189577,15,Estimation
h_nu,-0.0014035113481026423,15,Estimation
b0,0.06953125409853086,15,Estimation
d0,0.030467130253692097,15,Estimation
d_d0,0.07822230448578749,15,Estimation
b1,0.042090008410158135,15,Estimation
d1,0.0435528633146347,15,Estimation
mu,0.0,16,Estimation
h_mu,7.344473077155683e-05,16,Estimation
nu,0.004712177332982185,16,Estimation
h_nu,-0.027717319638704722,16,Estimation
b0,0.04836102293032607,16,Estimation
d0,0.00944270725614079,16,Estimation
d_d0,0.07667614110196203,16,Estimation
b1,0.04864003598956112,16,Estimation
d1,0.05003592780830447,16,Estimation
mu,0.0005611709726960339,17,Estimation
h_mu,5.3603319622661706e-05,17,Estimation
nu,0.004539042890866088,17,Estimation
h_nu,-0.00029894514437746116,17,Estimation
b0,0.07035196679102892,17,Estimation
d0,0.029650503572354412,17,Estimation
d_d0,0.08101990001886422,17,Estimation
b1,0.09259478230326769,17,Estimation
d1,0.09343438323303886,17,Estimation
mu,0.0,18,Estimation
h_mu,8.433090790509671e-05,18,Estimation
nu,0.005771659731998837,18,Estimation
h_nu,-0.0011371325327114417,18,Estimation
b0,0.06969879378978738,18,Estimation
d0,0.03029166418983826,18,Estimation
d_d0,0.07781406304929142,18,Estimation
b1,0.05464360373433846,18,Estimation
d1,0.05608685368301129,18,Estimation
mu,6.38416956955797e-05,19,Estimation
h_mu,4.4790377519379855e-05,19,Estimation
nu,0.003592783049368778,19,Estimation
h_nu,-3.5038638463663285e-05,19,Estimation
b0,0.06978361007830014,19,Estimation
d0,0.03020999680164573,19,Estimation
d_d0,0.07917653588343757,19,Estimation
b1,0.07178327971774238,19,Estimation
d1,0.07101739700132988,19,Estimation
mu,0.0006199255498650441,20,Estimation
h_mu,4.758701023905e-05,20,Estimation
nu,0.004009666192239595,20,Estimation
h_nu,-0.00010234001519081571,20,Estimation
b0,0.07043643345383996,20,Estimation
d0,0.029562560089393022,20,Estimation
d_d0,0.08149872580682206,20,Estimation
b1,0.06290877691485015,20,Estimation
d1,0.0629417956187825,20,Estimation
mu,0.0004500480579493856,21,Estimation
h_mu,4.59349913368257e-05,21,Estimation
nu,0.00447779921253172,21,Estimation
h_nu,-0.000260893373721085,21,Estimation
b0,0.070343828030551,21,Estimation
d0,0.02964964298483028,21,Estimation
d_d0,0.08055548349437584,21,Estimation
b1,0.09703503223152755,21,Estimation
d1,0.09753612117110143,21,Estimation
mu,0.0,22,Estimation
h_mu,6.824887862163327e-05,22,Estimation
nu,0.005117974090874615,22,Estimation
h_nu,-0.005344563242776426,22,Estimation
b0,0.07014380152885913,22,Estimation
d0,0.02974893072672831,22,Estimation
d_d0,0.07963052553660264,22,Estimation
b1,0.04647368683390214,22,Estimation
d1,0.048068116405908454,22,Estimation
mu,0.0,23,Estimation
h_mu,7.144286100879846e-05,23,Estimation
nu,0.00588943693290749,23,Estimation
h_nu,-0.1,23,Estimation
b0,0.06979546754303512,23,Estimation
