Parameter,Value,Run,Type
mu,0.0004952016224455667,0,Estimation
h_mu,4.365864695748158e-05,0,Estimation
nu,0.0027325226516750675,0,Estimation
b0,0.06964754311671997,0,Estimation
d0,0.029840166560596865,0,Estimation
d_d0,0.07986114627244749,0,Estimation
b1,0.049388758517302074,0,Estimation
d1,0.05047945433808996,0,Estimation
mu,0.00034427639568706603,1,Estimation
h_mu,6.095270754832824e-05,1,Estimation
nu,0.0029264750255465813,1,Estimation
b0,0.0397375314034613,1,Estimation
d0,0.0,1,Estimation
d_d0,0.0791129176525008,1,Estimation
b1,0.048657271095602445,1,Estimation
d1,0.05134040037030156,1,Estimation
mu,0.00042016270524717096,2,Estimation
h_mu,3.644488293335893e-05,2,Estimation
nu,0.003368319630311754,2,Estimation
b0,0.06940072901834633,2,Estimation
d0,0.029581951106098365,2,Estimation
d_d0,0.07986378208870377,2,Estimation
b1,0.050446166065314754,2,Estimation
d1,0.049540039323123015,2,Estimation
mu,0.0008087451072299037,3,Estimation
h_mu,4.643674920656576e-05,3,Estimation
nu,0.003453408938089466,3,Estimation
b0,0.040578415294976695,3,Estimation
d0,4.629088143809022e-11,3,Estimation
d_d0,0.08078454277728384,3,Estimation
b1,0.04934832977919893,3,Estimation
d1,0.050650674852407575,3,Estimation
mu,0.0004762156340663267,4,Estimation
h_mu,4.579125804083986e-05,4,Estimation
nu,0.004383697782041958,4,Estimation
b0,0.09994173828489226,4,Estimation
d0,0.059667962258571176,4,Estimation
d_d0,0.08148361616736897,4,Estimation
b1,0.06903259808143662,4,Estimation
d1,0.0688474672789414,4,Estimation
mu,0.0003598303720551914,5,Estimation
h_mu,3.3164886724533314e-05,5,Estimation
nu,0.003927632172989993,5,Estimation
b0,0.052354719176910654,5,Estimation
d0,0.012181421550027759,5,Estimation
d_d0,0.0815844551830434,5,Estimation
b1,0.05106703265758166,5,Estimation
d1,0.04877565987348594,5,Estimation
mu,0.0006006690484653884,6,Estimation
h_mu,3.5593812999288316e-05,6,Estimation
nu,0.0037532183788353594,6,Estimation
b0,0.04223958097669761,6,Estimation
d0,0.001871693342205973,6,Estimation
d_d0,0.0812240417632309,6,Estimation
b1,0.05023821317910069,6,Estimation
d1,0.04924654898702981,6,Estimation
mu,0.00022441442327593322,7,Estimation
h_mu,5.1696577746417135e-05,7,Estimation
nu,0.004155708583131936,7,Estimation
b0,0.08376643797712387,7,Estimation
d0,0.04406600332837138,7,Estimation
d_d0,0.08041775918072216,7,Estimation
b1,0.06436231364127085,7,Estimation
d1,0.06345636380774604,7,Estimation
mu,0.0004280416445035334,8,Estimation
h_mu,3.0543148469415e-05,8,Estimation
nu,0.0028979497656944657,8,Estimation
b0,0.06993881290412433,8,Estimation
d0,0.029751095282941342,8,Estimation
d_d0,0.0801954897906845,8,Estimation
b1,0.04895684912511802,8,Estimation
d1,0.04763115499074721,8,Estimation
mu,0.0006200036663817384,9,Estimation
h_mu,5.132675124484108e-05,9,Estimation
nu,0.0038779055615678895,9,Estimation
b0,0.09821743132835531,9,Estimation
d0,0.05762347322318373,9,Estimation
d_d0,0.08287753690290636,9,Estimation
b1,0.049540970759844975,9,Estimation
d1,0.05039953690286327,9,Estimation
mu,0.00015714579787061628,10,Estimation
h_mu,3.7851010083174707e-05,10,Estimation
nu,0.0019324005195721727,10,Estimation
b0,0.07108643860585037,10,Estimation
d0,0.030782055028961856,10,Estimation
d_d0,0.08051252212191658,10,Estimation
b1,0.050563279900314374,10,Estimation
d1,0.049228788229437076,10,Estimation
mu,0.00043174759142533954,11,Estimation
h_mu,4.752419779108943e-05,11,Estimation
nu,0.0028456482624676926,11,Estimation
b0,0.06528456549077373,11,Estimation
d0,0.02528886872876201,11,Estimation
d_d0,0.07933092188169825,11,Estimation
b1,0.049180607261530264,11,Estimation
d1,0.05062748368186181,11,Estimation
mu,0.00039462406001216423,12,Estimation
h_mu,3.508136975548016e-05,12,Estimation
nu,0.0026838110071458906,12,Estimation
b0,0.099953861346777,12,Estimation
d0,0.05972498181241429,12,Estimation
d_d0,0.08089809435436747,12,Estimation
b1,0.05007101385513334,12,Estimation
d1,0.04926819492118589,12,Estimation
mu,0.0005898118054217085,13,Estimation
h_mu,2.0794617216876514e-05,13,Estimation
nu,0.003221354151356981,13,Estimation
b0,0.06910330822433587,13,Estimation
d0,0.028359760666198653,13,Estimation
d_d0,0.08040915990864884,13,Estimation
b1,0.04999522556067699,13,Estimation
d1,0.04677396942799364,13,Estimation
mu,0.0007690754973036743,14,Estimation
h_mu,1.5818596488910213e-05,14,Estimation
nu,0.0027805680647831157,14,Estimation
b0,0.07393969310221034,14,Estimation
d0,0.033482921939548625,14,Estimation
d_d0,0.0802931233661508,14,Estimation
b1,0.06432982784442579,14,Estimation
d1,0.0626105245790319,14,Estimation
mu,9.33205374300715e-05,15,Estimation
h_mu,2.4899437521611e-05,15,Estimation
nu,0.0032640914921807113,15,Estimation
b0,0.07283438838831985,15,Estimation
d0,0.03328198012292182,15,Estimation
d_d0,0.07733112707295106,15,Estimation
b1,0.06390228507178686,15,Estimation
d1,0.05958871972647451,15,Estimation
mu,0.0005359922214005357,16,Estimation
h_mu,5.5254850281728845e-05,16,Estimation
nu,0.004444721700423544,16,Estimation
b0,0.0701559539643348,16,Estimation
d0,0.02978126730136049,16,Estimation
d_d0,0.082700469007769,16,Estimation
b1,0.046672498043144356,16,Estimation
d1,0.048370628633049174,16,Estimation
mu,0.00017892669914270428,17,Estimation
h_mu,4.538981605951413e-05,17,Estimation
nu,0.005791497962090115,17,Estimation
b0,0.06890356082387875,17,Estimation
d0,0.029184955362283504,17,Estimation
d_d0,0.08072955022227796,17,Estimation
b1,0.03963152031116712,17,Estimation
d1,0.03647685331884493,17,Estimation
mu,0.00019775769448598612,18,Estimation
h_mu,5.223162289282504e-05,18,Estimation
nu,0.004274163814017659,18,Estimation
b0,0.07707500536885978,18,Estimation
d0,0.037023650988727064,18,Estimation
d_d0,0.08070022136394356,18,Estimation
b1,0.05067165992732226,18,Estimation
d1,0.04918910918670787,18,Estimation
mu,0.0005137349053570006,19,Estimation
h_mu,3.0128417999508213e-05,19,Estimation
nu,0.003077138488755299,19,Estimation
b0,0.039806417549999716,19,Estimation
d0,0.0,19,Estimation
d_d0,0.08036975148270119,19,Estimation
b1,0.05039849020946888,19,Estimation
d1,0.049956043907082824,19,Estimation
mu,0.0003666142973369582,20,Estimation
h_mu,7.264353342717078e-05,20,Estimation
nu,0.004831008270065338,20,Estimation
b0,0.0756074259536699,20,Estimation
d0,0.035636129634613614,20,Estimation
d_d0,0.08214592864644342,20,Estimation
b1,0.04962325459816989,20,Estimation
d1,0.050224647926333396,20,Estimation
mu,0.00034510252773039553,21,Estimation
h_mu,4.187409889895756e-05,21,Estimation
nu,0.0028320316709339265,21,Estimation
b0,0.09216073970283269,21,Estimation
d0,0.05183944538487591,21,Estimation
d_d0,0.08119763834076903,21,Estimation
b1,0.050056673339224804,21,Estimation
d1,0.04967480652041183,21,Estimation
mu,0.00027626614681335433,22,Estimation
h_mu,3.4430635207958614e-05,22,Estimation
nu,0.0037258093870866323,22,Estimation
b0,0.06586535783849044,22,Estimation
d0,0.02660267758422895,22,Estimation
d_d0,0.07948106263726772,22,Estimation
b1,0.039886159791707655,22,Estimation
d1,0.037935429871632995,22,Estimation
mu,0.0006019618387368272,23,Estimation
h_mu,3.936654109140231e-05,23,Estimation
nu,0.0049922251470788164,23,Estimation
b0,0.04511022092814328,23,Estimation
d0,0.005320118135094567,23,Estimation
d_d0,0.07966324199664757,23,Estimation
b1,0.012466397114850264,23,Estimation
d1,0.010952115164526745,23,Estimation
mu,0.00024291803046115336,24,Estimation
h_mu,3.990162454277908e-05,24,Estimation
nu,0.003016011724166516,24,Estimation
b0,0.05911697861874736,24,Estimation
d0,0.01969429739817871,24,Estimation
d_d0,0.0790986543817518,24,Estimation
b1,0.03235198579625748,24,Estimation
d1,0.032042752454901326,24,Estimation
mu,0.0004901568599206989,25,Estimation
h_mu,3.9914151669419616e-05,25,Estimation
nu,0.0036275337269888915,25,Estimation
b0,0.045522909964154736,25,Estimation
d0,0.00503949228712418,25,Estimation
d_d0,0.08165487043931535,25,Estimation
b1,0.036158510765435865,25,Estimation
d1,0.03503755595827849,25,Estimation
mu,0.0003429188873994022,26,Estimation
h_mu,5.654821996111067e-05,26,Estimation
nu,0.0036971681918240465,26,Estimation
b0,0.06971124461128989,26,Estimation
d0,0.029704274233383475,26,Estimation
d_d0,0.0813445920294689,26,Estimation
b1,0.04250569496290761,26,Estimation
d1,0.041247696285713314,26,Estimation
mu,0.00021279401246402334,27,Estimation
h_mu,3.575748370260058e-05,27,Estimation
nu,0.0035592957947402286,27,Estimation
b0,0.06743331478607048,27,Estimation
d0,0.027496408221941698,27,Estimation
d_d0,0.08051496427927617,27,Estimation
b1,0.03371569302115306,27,Estimation
d1,0.03188878204001841,27,Estimation
mu,0.0007634937963617261,28,Estimation
h_mu,2.6860474662671005e-05,28,Estimation
nu,0.006310475677305171,28,Estimation
b0,0.09970822055604828,28,Estimation
d0,0.05960015224012877,28,Estimation
d_d0,0.08254335655580557,28,Estimation
b1,0.059647775388674905,28,Estimation
d1,0.056311804874703775,28,Estimation
mu,0.0003167662679166941,29,Estimation
h_mu,4.108899621275089e-05,29,Estimation
nu,0.004288750949697408,29,Estimation
b0,0.03979959668565946,29,Estimation
d0,0.0,29,Estimation
d_d0,0.08010109541671698,29,Estimation
b1,0.05074850930683591,29,Estimation
d1,0.04966673776057347,29,Estimation
f0_init,0.9886582776909345,0,Estimation
f0_init,0.9924117237009086,1,Estimation
f0_init,0.9900705383561875,2,Estimation
f0_init,0.9821849784633272,3,Estimation
f0_init,0.9893032703968411,4,Estimation
f0_init,0.991400592813074,5,Estimation
f0_init,0.9860899522236957,6,Estimation
f0_init,0.9947776605272248,7,Estimation
f0_init,0.9897573098562819,8,Estimation
f0_init,0.9863387593409683,9,Estimation
f0_init,0.9961587195926603,10,Estimation
f0_init,0.9902575712996263,11,Estimation
f0_init,0.9906343475378032,12,Estimation
f0_init,0.9855406060468163,13,Estimation
f0_init,0.9814994655652332,14,Estimation
f0_init,0.9975767736805919,15,Estimation
