Parameter,Value,Run,Type
mu,0.00025601103051170286,0,Estimation
h_mu,4.7955190646670404e-05,0,Estimation
nu,0.005614157039288756,0,Estimation
h_nu,-0.011553069561566216,0,Estimation
b0,0.08472879784989829,0,Estimation
d0,0.04528067115593617,0,Estimation
d_d0,0.07785106340852016,0,Estimation
b1,0.0271424996923932,0,Estimation
d1,0.026255552062366228,0,Estimation
mu,0.0001993809028675435,1,Estimation
h_mu,5.0823958136832655e-05,1,Estimation
nu,0.002340188628004337,1,Estimation
h_nu,-1.3666247323172614e-05,1,Estimation
b0,0.040275163271688355,1,Estimation
d0,0.00031045086120299914,1,Estimation
d_d0,0.07859025533292802,1,Estimation
b1,0.05038458305541453,1,Estimation
d1,0.049409581489639386,1,Estimation
mu,0.0005930202486918628,2,Estimation
h_mu,3.065143387030522e-05,2,Estimation
nu,0.005054865950260213,2,Estimation
h_nu,-0.0001669605652894337,2,Estimation
b0,0.07818796339412294,2,Estimation
d0,0.038423980377366475,2,Estimation
d_d0,0.08014317366230114,2,Estimation
b1,0.05024724570158443,2,Estimation
d1,0.04948918286352547,2,Estimation
mu,0.00023411797751986003,3,Estimation
h_mu,2.4294408329158797e-05,3,Estimation
nu,0.004566690099757236,3,Estimation
h_nu,-0.1,3,Estimation
b0,0.06955290040135355,3,Estimation
d0,0.030439540140513463,3,Estimation
d_d0,0.07901409987659654,3,Estimation
b1,0.05090440606466781,3,Estimation
d1,0.04903438816824813,3,Estimation
mu,6.352521201247146e-05,4,Estimation
h_mu,5.8709604237605646e-05,4,Estimation
nu,0.0043154096481149,4,Estimation
h_nu,-0.1,4,Estimation
b0,0.06990792176805596,4,Estimation
d0,0.03006410765482406,4,Estimation
d_d0,0.08183255470498667,4,Estimation
b1,0.04970980656095378,4,Estimation
d1,0.050253490162030456,4,Estimation
mu,7.252404310749052e-05,5,Estimation
h_mu,2.6644216112887213e-05,5,Estimation
nu,0.00502198327947244,5,Estimation
h_nu,-0.05541570795967002,5,Estimation
b0,0.09950850764300567,5,Estimation
d0,0.060576093499894984,5,Estimation
d_d0,0.07600065364339934,5,Estimation
b1,0.02675409646140112,5,Estimation
d1,0.023169126507607725,5,Estimation
mu,0.0,6,Estimation
h_mu,5.40802155345017e-05,6,Estimation
nu,0.00493657347469579,6,Estimation
h_nu,-0.0009873216923177522,6,Estimation
b0,0.07827754257349138,6,Estimation
d0,0.03958074847439308,6,Estimation
d_d0,0.07951034235131203,6,Estimation
b1,0.03718502831028565,6,Estimation
d1,0.03680204737493339,6,Estimation
mu,0.00012480826851842864,7,Estimation
h_mu,4.0717713458474845e-05,7,Estimation
nu,0.006164910216145772,7,Estimation
h_nu,-0.001461602601317766,7,Estimation
b0,0.039656571889025036,7,Estimation
d0,1.2263792405336629e-17,7,Estimation
d_d0,0.0787286260727046,7,Estimation
b1,0.05085581115027765,7,Estimation
d1,0.04911793867570557,7,Estimation
mu,0.0006713014643779827,8,Estimation
h_mu,3.981017267037953e-05,8,Estimation
nu,0.004383636176942003,8,Estimation
h_nu,-8.767289429715239e-05,8,Estimation
b0,0.06513948716309027,8,Estimation
d0,0.023945404683668178,8,Estimation
d_d0,0.08358158326126809,8,Estimation
b1,0.02985803845045245,8,Estimation
d1,0.029728016641887168,8,Estimation
mu,0.00026400748232556064,9,Estimation
h_mu,4.610467216237786e-05,9,Estimation
nu,0.004810106407030952,9,Estimation
h_nu,-0.1,9,Estimation
b0,0.0695175059221085,9,Estimation
d0,0.03047665827279643,9,Estimation
d_d0,0.0794607342033916,9,Estimation
b1,0.09749812872081728,9,Estimation
d1,0.09816164102692224,9,Estimation
mu,0.00014297982046259085,10,Estimation
h_mu,4.779945791281747e-05,10,Estimation
nu,0.006548531572023979,10,Estimation
h_nu,-0.00047676194121598706,10,Estimation
b0,0.1,10,Estimation
d0,0.06114636391217457,10,Estimation
d_d0,0.07702073918074555,10,Estimation
b1,0.002373853110958648,10,Estimation
d1,0.0014791111384175118,10,Estimation
mu,1.3349916815007385e-05,11,Estimation
h_mu,3.332195216462684e-05,11,Estimation
nu,0.003683972998452118,11,Estimation
h_nu,-0.1,11,Estimation
b0,0.06978855966942775,11,Estimation
d0,0.030201625170719167,11,Estimation
d_d0,0.07763930902892031,11,Estimation
b1,0.051224340825426415,11,Estimation
d1,0.04868354640924183,11,Estimation
mu,4.4956547356639507e-05,12,Estimation
h_mu,5.2638657827750165e-05,12,Estimation
nu,0.006321621200116614,12,Estimation
h_nu,-0.0012643303910992384,12,Estimation
b0,0.06909227055869299,12,Estimation
d0,0.03088768774271363,12,Estimation
d_d0,0.0772882411617008,12,Estimation
b1,0.049943059439088236,12,Estimation
d1,0.05001454950978297,12,Estimation
mu,0.00013454199443809235,13,Estimation
h_mu,3.222016103185125e-05,13,Estimation
nu,0.002738626558949807,13,Estimation
h_nu,-0.011791529324730881,13,Estimation
b0,0.09273532160437273,13,Estimation
d0,0.05392042960890336,13,Estimation
d_d0,0.07505213027054577,13,Estimation
b1,0.01913168943748556,13,Estimation
d1,0.017455112136209535,13,Estimation
