Parameter,Value,Run,Type
mu,0.00026956820734884337,0,Estimation
h_mu,6.185920985933342e-05,0,Estimation
nu,0.00397998650518903,0,Estimation
b0,0.0732593613596001,0,Estimation
d0,0.03326417053573399,0,Estimation
d_d0,0.08065292913601492,0,Estimation
b1,0.04917136833431191,0,Estimation
d1,0.049596383828461314,0,Estimation
mu,0.0006587984090191731,1,Estimation
h_mu,1.588381078211343e-05,1,Estimation
nu,0.0034582711362769556,1,Estimation
b0,0.1,1,Estimation
d0,0.05961977753510379,1,Estimation
d_d0,0.08044325146059852,1,Estimation
b1,0.0512513299855395,1,Estimation
d1,0.04853049604066509,1,Estimation
mu,0.00041954113604139744,2,Estimation
h_mu,3.361143977879345e-05,2,Estimation
nu,0.004293426425697678,2,Estimation
b0,0.06964458668120697,2,Estimation
d0,0.02985439117184782,2,Estimation
d_d0,0.08042353342863284,2,Estimation
b1,0.06386605113363862,2,Estimation
d1,0.06198855423985496,2,Estimation
mu,0.0003026688938622204,3,Estimation
h_mu,3.5906240548265394e-05,3,Estimation
nu,0.003742216232847996,3,Estimation
b0,0.09758731293523332,3,Estimation
d0,0.05753447035878019,3,Estimation
d_d0,0.08075069959259128,3,Estimation
b1,0.05110067107305185,3,Estimation
d1,0.04880387241575549,3,Estimation
mu,0.0001285824463430871,4,Estimation
h_mu,4.2836562094752147e-05,4,Estimation
nu,0.0032682412935049724,4,Estimation
b0,0.09064160503236554,4,Estimation
d0,0.05047846914685852,4,Estimation
d_d0,0.08148450743089897,4,Estimation
b1,0.04544340090665558,4,Estimation
d1,0.04396520079502077,4,Estimation
mu,0.00032722555621616416,5,Estimation
h_mu,3.868831506054192e-05,5,Estimation
nu,0.002862904371055981,5,Estimation
b0,0.040197546024924806,5,Estimation
d0,8.828273224187122e-10,5,Estimation
d_d0,0.08063846772451821,5,Estimation
b1,0.0577537092589327,5,Estimation
d1,0.05686222075447068,5,Estimation
mu,0.00021218905828113266,6,Estimation
h_mu,5.629868542076024e-05,6,Estimation
nu,0.0037488484210903166,6,Estimation
b0,0.09182271387123872,6,Estimation
d0,0.051947790766786045,6,Estimation
d_d0,0.08105512535689875,6,Estimation
b1,0.049632478452039275,6,Estimation
d1,0.050185937160390055,6,Estimation
mu,0.0009853675912677132,7,Estimation
h_mu,2.2407774086460083e-05,7,Estimation
nu,0.003934320997601943,7,Estimation
b0,0.1,7,Estimation
d0,0.05966900775981188,7,Estimation
d_d0,0.07856971396881518,7,Estimation
b1,0.049736369993015166,7,Estimation
d1,0.04972806863339589,7,Estimation
mu,0.0002664251564121773,8,Estimation
h_mu,3.3157353865592354e-05,8,Estimation
nu,0.002435707727373673,8,Estimation
b0,0.03977364194813964,8,Estimation
d0,0.0,8,Estimation
d_d0,0.07926334969583965,8,Estimation
b1,0.05157263880185312,8,Estimation
d1,0.05086064689238135,8,Estimation
mu,6.98651131392904e-05,9,Estimation
h_mu,0.000615134634876467,9,Estimation
nu,0.012155980883000673,9,Estimation
b0,0.047664506348180875,9,Estimation
d0,0.008420642570369648,9,Estimation
d_d0,0.07593386224310092,9,Estimation
b1,0.04137142843055621,9,Estimation
d1,0.05826457673624554,9,Estimation
mu,0.00019175227153453455,10,Estimation
h_mu,3.747569126616216e-05,10,Estimation
nu,0.0037011166627993124,10,Estimation
b0,0.06991995122507505,10,Estimation
d0,0.02990127623835098,10,Estimation
d_d0,0.08111593516516662,10,Estimation
b1,0.0756277594219572,10,Estimation
d1,0.07319702940815391,10,Estimation
mu,0.0004005449194440215,11,Estimation
h_mu,2.2210854180243138e-05,11,Estimation
nu,0.003076069472469791,11,Estimation
b0,0.06966340798542893,11,Estimation
d0,0.02959695776312859,11,Estimation
d_d0,0.0795740343439836,11,Estimation
b1,0.08483632043217379,11,Estimation
d1,0.08229886940624898,11,Estimation
mu,0.0003192285067254972,12,Estimation
h_mu,3.822488730075467e-05,12,Estimation
nu,0.004475649586153667,12,Estimation
b0,0.0942669887440313,12,Estimation
d0,0.054555492056399604,12,Estimation
d_d0,0.08035779785661795,12,Estimation
b1,0.05115785653075851,12,Estimation
d1,0.048637538545886004,12,Estimation
mu,0.0,13,Estimation
h_mu,4.748544007561042e-05,13,Estimation
nu,0.0027425930659393674,13,Estimation
b0,0.07315743731335478,13,Estimation
d0,0.03295735317955226,13,Estimation
d_d0,0.08173384724472378,13,Estimation
b1,0.04684799520835785,13,Estimation
d1,0.04561789136715394,13,Estimation
mu,0.00046449190549483795,14,Estimation
h_mu,3.155556996616539e-05,14,Estimation
nu,0.002152207117816765,14,Estimation
b0,0.06958665228126173,14,Estimation
d0,0.029384792416634286,14,Estimation
d_d0,0.08117071984399009,14,Estimation
b1,0.023800223131538234,14,Estimation
d1,0.023572700146933478,14,Estimation
mu,0.000474239465391611,15,Estimation
h_mu,3.642394595645722e-05,15,Estimation
nu,0.0031822735094893953,15,Estimation
b0,0.05159982713643805,15,Estimation
d0,0.011401395310549022,15,Estimation
d_d0,0.07991404314141762,15,Estimation
b1,0.05011155690526299,15,Estimation
d1,0.0495849054492273,15,Estimation
f0_init,0.9939319910674232,0,Estimation
f0_init,0.9839996085060518,1,Estimation
f0_init,0.9900698412150599,2,Estimation
f0_init,0.9927112937519611,3,Estimation
f0_init,0.9969358300122773,4,Estimation
f0_init,0.9922442480484392,5,Estimation
f0_init,0.9951988337698503,6,Estimation
f0_init,0.9777802214681665,7,Estimation
f0_init,0.9935821411633685,8,Estimation
f0_init,0.9989771661830855,9,Estimation
f0_init,0.9953577985847513,10,Estimation
f0_init,0.9901430268039916,11,Estimation
f0_init,0.9923448887219312,12,Estimation
f0_init,1.0,13,Estimation
f0_init,0.988980163286937,14,Estimation
f0_init,0.988942795326065,15,Estimation
mu,0.0004,-1,True
h_mu,4e-05,-1,True
nu,0.004,-1,True
b0,0.04,-1,True
d0,0.0,-1,True
d_d0,0.08,-1,True
b1,0.001,-1,True
d1,0.0,-1,True
f0,0.9907057853780621,-1,True
