Parameter,Value,Run,Type
mu,0.0004008185507034772,0,Estimation
h_mu,4.4407823930582605e-05,0,Estimation
nu,0.0003477250701777001,0,Estimation
b0,0.07008029958583838,0,Estimation
d0,0.02989673093831152,0,Estimation
d_d0,0.07999963393004042,0,Estimation
b1,0.08353358732502537,0,Estimation
d1,0.0857533334684167,0,Estimation
mu,0.00028484624192639315,1,Estimation
h_mu,2.9985298997715057e-05,1,Estimation
nu,0.012616586894652634,1,Estimation
b0,0.06982162676530655,1,Estimation
d0,0.030185620106007935,1,Estimation
d_d0,0.07944858295229149,1,Estimation
b1,0.1,1,Estimation
d1,0.0904835510471552,1,Estimation
mu,0.0004744835532476586,2,Estimation
h_mu,4.2009913391061e-05,2,Estimation
nu,0.0,2,Estimation
b0,0.06051794909738541,2,Estimation
d0,0.020368548974894436,2,Estimation
d_d0,0.08002012663738257,2,Estimation
b1,0.04857001918858516,2,Estimation
d1,0.051265234218889344,2,Estimation
mu,0.000409651542151466,3,Estimation
h_mu,4.608824654664622e-05,3,Estimation
nu,0.0,3,Estimation
b0,0.08369123016455277,3,Estimation
d0,0.043323328709925696,3,Estimation
d_d0,0.08041679242011765,3,Estimation
b1,0.04413367583054421,3,Estimation
d1,0.04682216199309829,3,Estimation
mu,0.00039219441723682637,4,Estimation
h_mu,4.1523362455199754e-05,4,Estimation
nu,0.0015098755466302898,4,Estimation
b0,0.05588077280162617,4,Estimation
d0,0.015579202100021486,4,Estimation
d_d0,0.08032258284326767,4,Estimation
b1,0.04939518274068912,4,Estimation
d1,0.0505188700980779,4,Estimation
mu,0.0003874273704429171,5,Estimation
h_mu,4.116243657693805e-05,5,Estimation
nu,0.004640810274686192,5,Estimation
b0,0.06713306127396212,5,Estimation
d0,0.026907459227985025,5,Estimation
d_d0,0.08099679700458448,5,Estimation
b1,0.04981862854908282,5,Estimation
d1,0.048370175215991476,5,Estimation
mu,0.0003543465795388262,6,Estimation
h_mu,3.497663822390536e-05,6,Estimation
nu,0.009799518574966795,6,Estimation
b0,0.07385530175030101,6,Estimation
d0,0.03397998100145311,6,Estimation
d_d0,0.07972590549396098,6,Estimation
b1,0.05315370308410164,6,Estimation
d1,0.0467392707104576,6,Estimation
mu,0.00041336799695766447,7,Estimation
h_mu,4.1098113498452693e-05,7,Estimation
nu,0.0064639334760059714,7,Estimation
b0,0.0540434298419211,7,Estimation
d0,0.013887340078380321,7,Estimation
d_d0,0.08062279724339948,7,Estimation
b1,0.051514364681343364,7,Estimation
d1,0.04847638147463757,7,Estimation
mu,0.0004096484498475974,8,Estimation
h_mu,4.069197892540939e-05,8,Estimation
nu,0.0020429767553541553,8,Estimation
b0,0.06317357687947947,8,Estimation
d0,0.023178223672925893,8,Estimation
d_d0,0.07991189517429761,8,Estimation
b1,0.049581029378296795,8,Estimation
d1,0.050327210379082665,8,Estimation
mu,0.0003663161150438484,9,Estimation
h_mu,3.660454362863578e-05,9,Estimation
nu,0.0045233394028209055,9,Estimation
b0,0.08476905406882547,9,Estimation
d0,0.04481461869898878,9,Estimation
d_d0,0.07954647139503822,9,Estimation
b1,0.04951206249785635,9,Estimation
d1,0.04772406453758776,9,Estimation
mu,0.0004172364668925912,10,Estimation
h_mu,4.396814169768864e-05,10,Estimation
nu,0.0,10,Estimation
b0,0.06999231065469143,10,Estimation
d0,0.029955405821078807,10,Estimation
d_d0,0.07949185708251078,10,Estimation
b1,0.07204086850181225,10,Estimation
d1,0.07465174514512134,10,Estimation
mu,0.0004147710617229502,11,Estimation
h_mu,4.315566748377254e-05,11,Estimation
nu,0.0016527785169833632,11,Estimation
b0,0.05936757049866311,11,Estimation
d0,0.019179562416334305,11,Estimation
d_d0,0.08007926942400419,11,Estimation
b1,0.0493280401896434,11,Estimation
d1,0.050579875894673644,11,Estimation
mu,0.00042225371703307147,12,Estimation
h_mu,4.343168515447414e-05,12,Estimation
nu,0.0,12,Estimation
b0,0.06990482438958572,12,Estimation
d0,0.03005591253766278,12,Estimation
d_d0,0.07925926995590973,12,Estimation
b1,0.09336893090439348,12,Estimation
d1,0.09589605140934163,12,Estimation
mu,0.00035172218662705344,13,Estimation
h_mu,3.622929457953155e-05,13,Estimation
nu,0.009365359252084423,13,Estimation
b0,0.06961863138576092,13,Estimation
d0,0.02956976655542181,13,Estimation
d_d0,0.08057051976162018,13,Estimation
b1,0.08803690919261362,13,Estimation
d1,0.08205742759758315,13,Estimation
mu,0.00038952171299539643,14,Estimation
h_mu,4.977241222102291e-05,14,Estimation
nu,2.979992819429949e-07,14,Estimation
b0,0.09204125401955954,14,Estimation
d0,0.05178503683734488,14,Estimation
d_d0,0.08059697066845321,14,Estimation
b1,0.04663393101932591,14,Estimation
d1,0.049401587955279665,14,Estimation
mu,0.00034632360375237134,15,Estimation
h_mu,3.7590622373902534e-05,15,Estimation
nu,0.008026238175809575,15,Estimation
b0,0.06992742173672198,15,Estimation
d0,0.030029685049568777,15,Estimation
d_d0,0.07985352683478025,15,Estimation
b1,0.0977287763047304,15,Estimation
d1,0.0930081412824195,15,Estimation
f0_init,0.99062507715569,0,Estimation
f0_init,0.9933479208292367,1,Estimation
f0_init,0.9889254798635599,2,Estimation
f0_init,0.9904856964361775,3,Estimation
f0_init,0.9908683793251762,4,Estimation
f0_init,0.991085365281909,5,Estimation
f0_init,0.9918242527681022,6,Estimation
f0_init,0.9905286078803179,7,Estimation
f0_init,0.99042972524383,8,Estimation
f0_init,0.9914269687885652,9,Estimation
f0_init,0.9902166900025416,10,Estimation
f0_init,0.99037847897498,11,Estimation
f0_init,0.9900355532703711,12,Estimation
f0_init,0.9919164885696696,13,Estimation
f0_init,0.9909464454706339,14,Estimation
f0_init,0.9919958677738019,15,Estimation
mu,0.0004,-1,True
h_mu,4e-05,-1,True
nu,0.004,-1,True
b0,0.04,-1,True
d0,0.0,-1,True
d_d0,0.08,-1,True
b1,0.001,-1,True
d1,0.0,-1,True
f0,0.9907057853780621,-1,True
