Parameter,Value,Run,Type
mu,0.00037533500935668136,0,Estimation
h_mu,5.878337546984699e-05,0,Estimation
nu,0.0029133802572526217,0,Estimation
h_nu,-1.9119717125959572e-05,0,Estimation
b0,0.07028406841443466,0,Estimation
d0,0.029688394786490657,0,Estimation
d_d0,0.08470617714959384,0,Estimation
b1,0.049883106032556766,0,Estimation
d1,0.050103650421043415,0,Estimation
mu,0.0008877712140907458,1,Estimation
h_mu,5.019513615232371e-05,1,Estimation
nu,0.003965327782639897,1,Estimation
h_nu,-4.006956946050294e-05,1,Estimation
b0,0.07018523105538751,1,Estimation
d0,0.029815654682510337,1,Estimation
d_d0,0.08155113188654826,1,Estimation
b1,0.049359213629966384,1,Estimation
d1,0.05063748723231695,1,Estimation
mu,1.1369486987773492e-05,2,Estimation
h_mu,4.527760753930945e-05,2,Estimation
nu,0.0039119985489434956,2,Estimation
h_nu,-0.0015053271509988771,2,Estimation
b0,0.06990186815629028,2,Estimation
d0,0.030064269891979006,2,Estimation
d_d0,0.07784257895602527,2,Estimation
b1,0.05042009554283967,2,Estimation
d1,0.04957059444945021,2,Estimation
mu,0.00030101401134468127,3,Estimation
h_mu,5.1783304364686715e-05,3,Estimation
nu,0.003144138760492221,3,Estimation
h_nu,-3.1305068524377706e-05,3,Estimation
b0,0.07023565130710045,3,Estimation
d0,0.029762227716205708,3,Estimation
d_d0,0.08354103793517648,3,Estimation
b1,0.04965772414795602,3,Estimation
d1,0.0503488236677172,3,Estimation
mu,0.0,4,Estimation
h_mu,7.323713304889611e-05,4,Estimation
nu,0.006212431634711091,4,Estimation
h_nu,-0.011706556434812387,4,Estimation
b0,0.06303130205112263,4,Estimation
d0,0.023697467172038317,4,Estimation
d_d0,0.07935296696167421,4,Estimation
b1,0.030460867765414335,4,Estimation
d1,0.031743087956709354,4,Estimation
mu,0.0,5,Estimation
h_mu,4.9317920494356914e-05,5,Estimation
nu,0.00460025188208588,5,Estimation
h_nu,-0.010516257668331757,5,Estimation
b0,0.06991541724552912,5,Estimation
d0,0.030089409400512045,5,Estimation
d_d0,0.08018350350898451,5,Estimation
b1,0.011879257384195478,5,Estimation
d1,0.012081101884298968,5,Estimation
mu,5.161893105497301e-05,6,Estimation
h_mu,4.599504871914409e-05,6,Estimation
nu,0.004595447677710821,6,Estimation
h_nu,-0.0001656103454681983,6,Estimation
b0,0.0695890327362742,6,Estimation
