Parameter,Value,Run,Type
mu,0.0,0,Estimation
h_mu,1.0298249130575917e-05,0,Estimation
nu,0.007752901869074519,0,Estimation
h_nu,-0.003876451343401199,0,Estimation
b0,0.08647867139631933,0,Estimation
d0,0.04684986353452387,0,Estimation
d_d0,0.08446553132032643,0,Estimation
b1,0.0590656018251937,0,Estimation
d1,0.05348182092036152,0,Estimation
mu,0.00029493067704340945,1,Estimation
h_mu,0.0011787671435900427,1,Estimation
nu,0.09994221779009811,1,Estimation
h_nu,-0.013325636440707275,1,Estimation
b0,0.06940658119722766,1,Estimation
d0,0.030459770645293635,1,Estimation
d_d0,0.0792757468544693,1,Estimation
b1,0.05465111202549945,1,Estimation
d1,0.06717024657131983,1,Estimation
mu,0.0005772199682851407,2,Estimation
h_mu,0.0008288674259108143,2,Estimation
nu,0.030704565637935274,2,Estimation
h_nu,-0.02670313262451784,2,Estimation
b0,0.0849409993173833,2,Estimation
d0,0.0452173246084911,2,Estimation
d_d0,0.07691167681182622,2,Estimation
b1,0.08034512899500997,2,Estimation
d1,0.09250963906850895,2,Estimation
mu,0.0026854496576783045,3,Estimation
h_mu,0.0004494684549128225,3,Estimation
nu,0.04980605726277642,3,Estimation
h_nu,-0.049806061717936466,3,Estimation
b0,0.09693909552011165,3,Estimation
d0,0.05628455299037936,3,Estimation
d_d0,0.08132360873962888,3,Estimation
b1,0.005491996979032799,3,Estimation
d1,0.00940331575274061,3,Estimation
mu,0.007819256170983366,4,Estimation
h_mu,0.0003045141549072732,4,Estimation
nu,0.09767445650573157,4,Estimation
h_nu,-0.048837237086802765,4,Estimation
b0,0.09146754791280647,4,Estimation
d0,0.05010644661589552,4,Estimation
d_d0,0.07926862899281154,4,Estimation
b1,0.019580792547032815,4,Estimation
d1,0.034168948119589246,4,Estimation
mu,0.008593765664103149,5,Estimation
h_mu,4.765162858269174e-05,5,Estimation
nu,0.012974493778190752,5,Estimation
h_nu,-0.012974502646765416,5,Estimation
b0,0.08711989979464019,5,Estimation
d0,0.04064665504484188,5,Estimation
d_d0,0.07731997523474836,5,Estimation
b1,0.03726136200408097,5,Estimation
d1,0.06158826957558457,5,Estimation
mu,0.0,6,Estimation
h_mu,0.000228636292491743,6,Estimation
nu,0.0,6,Estimation
h_nu,0.0,6,Estimation
b0,0.06883208002723408,6,Estimation
d0,0.029628376952930857,6,Estimation
d_d0,0.07645296111778511,6,Estimation
b1,0.054180851778448696,6,Estimation
d1,0.061660661695203955,6,Estimation
mu,0.0,7,Estimation
h_mu,0.0,7,Estimation
nu,0.0017336041336915603,7,Estimation
h_nu,0.0,7,Estimation
b0,0.06828241281676542,7,Estimation
d0,0.02923042513362073,7,Estimation
d_d0,0.07778652461348019,7,Estimation
b1,0.06131791734828632,7,Estimation
d1,0.059303090679975114,7,Estimation
mu,0.0048168763054959015,8,Estimation
h_mu,0.0004016370152063218,8,Estimation
nu,0.011766580901024504,8,Estimation
h_nu,0.0,8,Estimation
b0,0.09999972085864821,8,Estimation
d0,0.05700590147023578,8,Estimation
d_d0,0.0804512093074899,8,Estimation
b1,0.052564589094352444,8,Estimation
d1,0.061926860635790525,8,Estimation
mu,0.0,9,Estimation
h_mu,0.00023370457918766348,9,Estimation
