Parameter,Value,Run,Type
mu,0.001607022151184785,0,Estimation
h_mu,5.079312516713395e-05,0,Estimation
nu,0.0063381705501481264,0,Estimation
h_nu,-0.1,0,Estimation
b0,0.04058312027186912,0,Estimation
d0,0.00019915741577487012,0,Estimation
d_d0,0.07799089736847442,0,Estimation
b1,0.012029645950672836,0,Estimation
d1,0.011899804933460777,0,Estimation
mu,0.001607022151184785,1,Estimation
h_mu,5.079312516713395e-05,1,Estimation
nu,0.0063381705501481264,1,Estimation
h_nu,-0.1,1,Estimation
b0,0.04058312027186912,1,Estimation
d0,0.00019915741577487012,1,Estimation
d_d0,0.07799089736847442,1,Estimation
b1,0.012029645950672836,1,Estimation
d1,0.011899804933460777,1,Estimation
mu,0.001607022151184785,2,Estimation
h_mu,5.079312516713395e-05,2,Estimation
nu,0.0063381705501481264,2,Estimation
h_nu,-0.1,2,Estimation
b0,0.04058312027186912,2,Estimation
d0,0.00019915741577487012,2,Estimation
d_d0,0.07799089736847442,2,Estimation
b1,0.012029645950672836,2,Estimation
d1,0.011899804933460777,2,Estimation
mu,0.001607022151184785,3,Estimation
h_mu,5.079312516713395e-05,3,Estimation
nu,0.0063381705501481264,3,Estimation
h_nu,-0.1,3,Estimation
b0,0.04058312027186912,3,Estimation
d0,0.00019915741577487012,3,Estimation
d_d0,0.07799089736847442,3,Estimation
b1,0.012029645950672836,3,Estimation
d1,0.011899804933460777,3,Estimation
mu,0.001607022151184785,4,Estimation
h_mu,5.079312516713395e-05,4,Estimation
nu,0.0063381705501481264,4,Estimation
h_nu,-0.1,4,Estimation
b0,0.04058312027186912,4,Estimation
d0,0.00019915741577487012,4,Estimation
d_d0,0.07799089736847442,4,Estimation
b1,0.012029645950672836,4,Estimation
d1,0.011899804933460777,4,Estimation
mu,0.001607022151184785,5,Estimation
h_mu,5.079312516713395e-05,5,Estimation
nu,0.0063381705501481264,5,Estimation
h_nu,-0.1,5,Estimation
b0,0.04058312027186912,5,Estimation
d0,0.00019915741577487012,5,Estimation
d_d0,0.07799089736847442,5,Estimation
b1,0.012029645950672836,5,Estimation
d1,0.011899804933460777,5,Estimation
mu,0.001607022151184785,6,Estimation
h_mu,5.079312516713395e-05,6,Estimation
nu,0.0063381705501481264,6,Estimation
h_nu,-0.1,6,Estimation
b0,0.04058312027186912,6,Estimation
d0,0.00019915741577487012,6,Estimation
d_d0,0.07799089736847442,6,Estimation
b1,0.012029645950672836,6,Estimation
d1,0.011899804933460777,6,Estimation
mu,0.001607022151184785,7,Estimation
h_mu,5.079312516713395e-05,7,Estimation
nu,0.0063381705501481264,7,Estimation
h_nu,-0.1,7,Estimation
b0,0.04058312027186912,7,Estimation
d0,0.00019915741577487012,7,Estimation
d_d0,0.07799089736847442,7,Estimation
b1,0.012029645950672836,7,Estimation
d1,0.011899804933460777,7,Estimation
mu,0.001607022151184785,8,Estimation
h_mu,5.079312516713395e-05,8,Estimation
nu,0.0063381705501481264,8,Estimation
h_nu,-0.1,8,Estimation
b0,0.04058312027186912,8,Estimation
d0,0.00019915741577487012,8,Estimation
d_d0,0.07799089736847442,8,Estimation
b1,0.012029645950672836,8,Estimation
d1,0.011899804933460777,8,Estimation
mu,0.001607022151184785,9,Estimation
h_mu,5.079312516713395e-05,9,Estimation
nu,0.0063381705501481264,9,Estimation
h_nu,-0.1,9,Estimation
b0,0.04058312027186912,9,Estimation
d0,0.00019915741577487012,9,Estimation
d_d0,0.07799089736847442,9,Estimation
b1,0.012029645950672836,9,Estimation
d1,0.011899804933460777,9,Estimation
mu,0.001607022151184785,10,Estimation
h_mu,5.079312516713395e-05,10,Estimation
nu,0.0063381705501481264,10,Estimation
h_nu,-0.1,10,Estimation
b0,0.04058312027186912,10,Estimation
d0,0.00019915741577487012,10,Estimation
d_d0,0.07799089736847442,10,Estimation
b1,0.012029645950672836,10,Estimation
d1,0.011899804933460777,10,Estimation
mu,0.001607022151184785,11,Estimation
h_mu,5.079312516713395e-05,11,Estimation
nu,0.0063381705501481264,11,Estimation
h_nu,-0.1,11,Estimation
b0,0.04058312027186912,11,Estimation
d0,0.00019915741577487012,11,Estimation
d_d0,0.07799089736847442,11,Estimation
b1,0.012029645950672836,11,Estimation
d1,0.011899804933460777,11,Estimation
mu,0.001607022151184785,12,Estimation
h_mu,5.079312516713395e-05,12,Estimation
nu,0.0063381705501481264,12,Estimation
h_nu,-0.1,12,Estimation
b0,0.04058312027186912,12,Estimation
d0,0.00019915741577487012,12,Estimation
d_d0,0.07799089736847442,12,Estimation
b1,0.012029645950672836,12,Estimation
d1,0.011899804933460777,12,Estimation
mu,0.001607022151184785,13,Estimation
h_mu,5.079312516713395e-05,13,Estimation
nu,0.0063381705501481264,13,Estimation
h_nu,-0.1,13,Estimation
b0,0.04058312027186912,13,Estimation
d0,0.00019915741577487012,13,Estimation
d_d0,0.07799089736847442,13,Estimation
b1,0.012029645950672836,13,Estimation
d1,0.011899804933460777,13,Estimation
mu,0.001607022151184785,14,Estimation
h_mu,5.079312516713395e-05,14,Estimation
nu,0.0063381705501481264,14,Estimation
h_nu,-0.1,14,Estimation
b0,0.04058312027186912,14,Estimation
d0,0.00019915741577487012,14,Estimation
d_d0,0.07799089736847442,14,Estimation
b1,0.012029645950672836,14,Estimation
d1,0.011899804933460777,14,Estimation
mu,0.001607022151184785,15,Estimation
h_mu,5.079312516713395e-05,15,Estimation
nu,0.0063381705501481264,15,Estimation
h_nu,-0.1,15,Estimation
b0,0.04058312027186912,15,Estimation
d0,0.00019915741577487012,15,Estimation
d_d0,0.07799089736847442,15,Estimation
b1,0.012029645950672836,15,Estimation
d1,0.011899804933460777,15,Estimation
mu,0.001607022151184785,16,Estimation
h_mu,5.079312516713395e-05,16,Estimation
nu,0.0063381705501481264,16,Estimation
h_nu,-0.1,16,Estimation
b0,0.04058312027186912,16,Estimation
d0,0.00019915741577487012,16,Estimation
d_d0,0.07799089736847442,16,Estimation
b1,0.012029645950672836,16,Estimation
d1,0.011899804933460777,16,Estimation
mu,0.001607022151184785,17,Estimation
h_mu,5.079312516713395e-05,17,Estimation
nu,0.0063381705501481264,17,Estimation
h_nu,-0.1,17,Estimation
b0,0.04058312027186912,17,Estimation
d0,0.00019915741577487012,17,Estimation
d_d0,0.07799089736847442,17,Estimation
b1,0.012029645950672836,17,Estimation
d1,0.011899804933460777,17,Estimation
mu,0.001607022151184785,18,Estimation
h_mu,5.079312516713395e-05,18,Estimation
nu,0.0063381705501481264,18,Estimation
h_nu,-0.1,18,Estimation
b0,0.04058312027186912,18,Estimation
d0,0.00019915741577487012,18,Estimation
d_d0,0.07799089736847442,18,Estimation
b1,0.012029645950672836,18,Estimation
d1,0.011899804933460777,18,Estimation
mu,0.001607022151184785,19,Estimation
h_mu,5.079312516713395e-05,19,Estimation
nu,0.0063381705501481264,19,Estimation
h_nu,-0.1,19,Estimation
b0,0.04058312027186912,19,Estimation
d0,0.00019915741577487012,19,Estimation
d_d0,0.07799089736847442,19,Estimation
b1,0.012029645950672836,19,Estimation
d1,0.011899804933460777,19,Estimation
f0_init,0.9656748170526189,0,Estimation
f0_init,0.9656748170526189,1,Estimation
f0_init,0.9656748170526189,2,Estimation
f0_init,0.9656748170526189,3,Estimation
f0_init,0.9656748170526189,4,Estimation
f0_init,0.9656748170526189,5,Estimation
f0_init,0.9656748170526189,6,Estimation
f0_init,0.9656748170526189,7,Estimation
f0_init,0.9656748170526189,8,Estimation
f0_init,0.9656748170526189,9,Estimation
f0_init,0.9656748170526189,10,Estimation
f0_init,0.9656748170526189,11,Estimation
f0_init,0.9656748170526189,12,Estimation
f0_init,0.9656748170526189,13,Estimation
f0_init,0.9656748170526189,14,Estimation
f0_init,0.9656748170526189,15,Estimation
f0_init,0.9656748170526189,16,Estimation
f0_init,0.9656748170526189,17,Estimation
f0_init,0.9656748170526189,18,Estimation
f0_init,0.9656748170526189,19,Estimation
mu,0.0004,-1,True
h_mu,4e-05,-1,True
nu,0.004,-1,True
h_nu,-4e-05,-1,True
b0,0.04,-1,True
d0,0.0,-1,True
d_d0,0.08,-1,True
b1,0.001,-1,True
d1,0.0,-1,True
f0,0.9907057853780621,-1,True
