Parameter,Value,Run,Type
mu,4.804805188921231e-05,0,Estimation
h_mu,3.623215155669882e-05,0,Estimation
nu,0.005147768093551509,0,Estimation
h_nu,-0.1,0,Estimation
b0,0.0392995417856328,0,Estimation
d0,3.426428304332668e-07,0,Estimation
d_d0,0.077931819760673,0,Estimation
b1,0.050632450345840206,0,Estimation
d1,0.04936726322020847,0,Estimation
mu,4.804805188921231e-05,1,Estimation
h_mu,3.623215155669882e-05,1,Estimation
nu,0.005147768093551509,1,Estimation
h_nu,-0.1,1,Estimation
b0,0.0392995417856328,1,Estimation
d0,3.426428304332668e-07,1,Estimation
d_d0,0.077931819760673,1,Estimation
b1,0.050632450345840206,1,Estimation
d1,0.04936726322020847,1,Estimation
mu,4.804805188921231e-05,2,Estimation
h_mu,3.623215155669882e-05,2,Estimation
nu,0.005147768093551509,2,Estimation
h_nu,-0.1,2,Estimation
b0,0.0392995417856328,2,Estimation
d0,3.426428304332668e-07,2,Estimation
d_d0,0.077931819760673,2,Estimation
b1,0.050632450345840206,2,Estimation
d1,0.04936726322020847,2,Estimation
mu,4.804805188921231e-05,3,Estimation
h_mu,3.623215155669882e-05,3,Estimation
nu,0.005147768093551509,3,Estimation
h_nu,-0.1,3,Estimation
b0,0.0392995417856328,3,Estimation
d0,3.426428304332668e-07,3,Estimation
d_d0,0.077931819760673,3,Estimation
b1,0.050632450345840206,3,Estimation
d1,0.04936726322020847,3,Estimation
mu,4.804805188921231e-05,4,Estimation
h_mu,3.623215155669882e-05,4,Estimation
nu,0.005147768093551509,4,Estimation
h_nu,-0.1,4,Estimation
b0,0.0392995417856328,4,Estimation
d0,3.426428304332668e-07,4,Estimation
d_d0,0.077931819760673,4,Estimation
b1,0.050632450345840206,4,Estimation
d1,0.04936726322020847,4,Estimation
mu,4.804805188921231e-05,5,Estimation
h_mu,3.623215155669882e-05,5,Estimation
nu,0.005147768093551509,5,Estimation
h_nu,-0.1,5,Estimation
b0,0.0392995417856328,5,Estimation
d0,3.426428304332668e-07,5,Estimation
d_d0,0.077931819760673,5,Estimation
b1,0.050632450345840206,5,Estimation
d1,0.04936726322020847,5,Estimation
mu,4.804805188921231e-05,6,Estimation
h_mu,3.623215155669882e-05,6,Estimation
nu,0.005147768093551509,6,Estimation
h_nu,-0.1,6,Estimation
b0,0.0392995417856328,6,Estimation
d0,3.426428304332668e-07,6,Estimation
d_d0,0.077931819760673,6,Estimation
b1,0.050632450345840206,6,Estimation
d1,0.04936726322020847,6,Estimation
mu,4.804805188921231e-05,7,Estimation
h_mu,3.623215155669882e-05,7,Estimation
