Parameter,Value,Run,Type
mu,0.0,0,Estimation
h_mu,4.6615195066172186e-05,0,Estimation
nu,0.006968734090456963,0,Estimation
h_nu,-0.005980030607186904,0,Estimation
b0,0.06949953369549672,0,Estimation
d0,0.03055340580629061,0,Estimation
d_d0,0.07838277265290108,0,Estimation
b1,0.046556170641869475,0,Estimation
d1,0.04679289424378913,0,Estimation
mu,0.0,1,Estimation
h_mu,7.048806897324715e-05,1,Estimation
nu,0.006381410252401206,1,Estimation
h_nu,-0.0012104981576721496,1,Estimation
b0,0.06958256657079233,1,Estimation
d0,0.03030621615683025,1,Estimation
d_d0,0.07675293523348188,1,Estimation
b1,0.04938861791279026,1,Estimation
d1,0.050553770584167844,1,Estimation
mu,0.00036793905744964196,2,Estimation
h_mu,2.428693919763537e-05,2,Estimation
nu,0.004539731000909748,2,Estimation
h_nu,-7.757080988720628e-05,2,Estimation
b0,0.06511294939462998,2,Estimation
d0,0.02478043039203164,2,Estimation
d_d0,0.0820705025655124,2,Estimation
b1,0.09215210923431799,2,Estimation
d1,0.09084299259314563,2,Estimation
mu,0.0001473364185217795,3,Estimation
h_mu,3.2152068024889215e-05,3,Estimation
nu,0.0036558023513328687,3,Estimation
h_nu,-3.9559454570959425e-05,3,Estimation
b0,0.07017998269468437,3,Estimation
d0,0.02978110770017469,3,Estimation
d_d0,0.08299231624342275,3,Estimation
b1,0.05072213718884105,3,Estimation
d1,0.04929354790405689,3,Estimation
mu,0.00027484986675929603,4,Estimation
h_mu,3.912952916945956e-05,4,Estimation
nu,0.004634712846475263,4,Estimation
h_nu,-0.00023173994399725782,4,Estimation
b0,0.07011201054078046,4,Estimation
d0,0.029877111961930727,4,Estimation
d_d0,0.08006275564693556,4,Estimation
b1,0.05026031667440427,4,Estimation
d1,0.04973819151129144,4,Estimation
mu,0.00016629202004889447,5,Estimation
h_mu,3.291681106444571e-05,5,Estimation
nu,0.0039244660904777795,5,Estimation
h_nu,-5.233335717194025e-05,5,Estimation
b0,0.04071756401148901,5,Estimation
d0,0.0011858408053988777,5,Estimation
d_d0,0.08069900620515301,5,Estimation
b1,0.05046997387691263,5,Estimation
d1,0.04935459419930693,5,Estimation
mu,0.00045314981539164024,6,Estimation
h_mu,4.9992102899032304e-05,6,Estimation
nu,0.004055579137427996,6,Estimation
h_nu,-3.146945927896634e-05,6,Estimation
b0,0.07774503575968816,6,Estimation
d0,0.038156701719354105,6,Estimation
d_d0,0.07814388671370556,6,Estimation
b1,0.05047625051766664,6,Estimation
d1,0.04940973247712576,6,Estimation
mu,4.826196744919122e-05,7,Estimation
h_mu,3.869405761312551e-05,7,Estimation
nu,0.0038153718311930676,7,Estimation
h_nu,-3.815917873785936e-05,7,Estimation
b0,0.0704067486372378,7,Estimation
