Parameter,Value,Run,Type
mu,0.0026953346537681245,0,Estimation
h_mu,4.5510340546943024e-05,0,Estimation
nu,0.00642955425227575,0,Estimation
h_nu,0.0,0,Estimation
b0,0.07070574706307131,0,Estimation
d0,0.029286932368210603,0,Estimation
d_d0,0.08157164063484569,0,Estimation
b1,0.04947775954314943,0,Estimation
d1,0.05051964335049957,0,Estimation
mu,0.002348166093960576,1,Estimation
h_mu,4.00852070249068e-05,1,Estimation
nu,0.009982249274045542,1,Estimation
h_nu,-9.983043344284863e-05,1,Estimation
b0,0.04689848625734546,1,Estimation
d0,0.0069703892556981775,1,Estimation
d_d0,0.08044529471320876,1,Estimation
b1,0.024416142142696547,1,Estimation
d1,0.024958332867493663,1,Estimation
mu,0.0,2,Estimation
h_mu,4.779956674288649e-05,2,Estimation
nu,0.007003678546660195,2,Estimation
h_nu,-0.000350184304696794,2,Estimation
b0,0.06961570042535449,2,Estimation
d0,0.03035122986326482,2,Estimation
d_d0,0.07719900559180896,2,Estimation
b1,0.07274371442721828,2,Estimation
d1,0.07390100481915163,2,Estimation
mu,5.11179727042233e-05,3,Estimation
h_mu,4.112454521849023e-05,3,Estimation
nu,0.003920487833108779,3,Estimation
h_nu,-5.2276829752982203e-05,3,Estimation
b0,0.07001463152827403,3,Estimation
d0,0.029977245813436366,3,Estimation
d_d0,0.08041191980138301,3,Estimation
b1,0.05101638140364097,3,Estimation
d1,0.04898104402557529,3,Estimation
mu,0.0,4,Estimation
h_mu,7.498399168718122e-05,4,Estimation
nu,0.012365669630075158,4,Estimation
h_nu,-0.1,4,Estimation
b0,0.03981475945123071,4,Estimation
d0,1.3096177631956344e-07,4,Estimation
d_d0,0.07947002104478142,4,Estimation
b1,0.049340564813664126,4,Estimation
d1,0.05065881323824169,4,Estimation
mu,2.324726533656609e-05,5,Estimation
h_mu,4.3665526388770045e-05,5,Estimation
nu,0.0012318904601807074,5,Estimation
h_nu,0.0,5,Estimation
b0,0.06923093444573786,5,Estimation
d0,0.030760176656639167,5,Estimation
d_d0,0.07601851887270389,5,Estimation
b1,0.04867374087771088,5,Estimation
d1,0.051324681513754675,5,Estimation
mu,0.0,6,Estimation
h_mu,4.2514004193367834e-05,6,Estimation
nu,0.0008916967480394386,6,Estimation
h_nu,-8.92232896847714e-06,6,Estimation
b0,0.0702132211751479,6,Estimation
d0,0.029772501789205832,6,Estimation
d_d0,0.08080587400354271,6,Estimation
b1,0.07511176526932732,6,Estimation
d1,0.07459154259757197,6,Estimation
mu,0.00030133576334703707,7,Estimation
h_mu,4.877357327906111e-05,7,Estimation
nu,0.0032281987247627544,7,Estimation
h_nu,-8.523239417154066e-05,7,Estimation
b0,0.06996903920953093,7,Estimation
d0,0.030022531887107615,7,Estimation
d_d0,0.0799175936238019,7,Estimation
b1,0.050174911168337576,7,Estimation
d1,0.049823583007719094,7,Estimation
mu,0.0004726327777402573,8,Estimation
h_mu,3.673624601793758e-05,8,Estimation
nu,0.004241498154128069,8,Estimation
h_nu,-0.00012151998534157686,8,Estimation
b0,0.07037513100718035,8,Estimation
d0,0.02961350316965495,8,Estimation
d_d0,0.08147407740798582,8,Estimation
b1,0.07849417077057724,8,Estimation
d1,0.07643659650440426,8,Estimation
mu,0.0,9,Estimation
h_mu,3.365850151659259e-05,9,Estimation
nu,0.009914638832928039,9,Estimation
h_nu,-0.00019335032054161244,9,Estimation
b0,0.06919342079092414,9,Estimation
d0,0.03080303291981865,9,Estimation
d_d0,0.08054698342243083,9,Estimation
b1,0.052547823640024596,9,Estimation
d1,0.047451921211586076,9,Estimation
mu,0.0011858714461454182,10,Estimation
h_mu,2.346634345548227e-05,10,Estimation
nu,0.010726403315082001,10,Estimation
h_nu,-0.00021452859418023284,10,Estimation
b0,0.06938419458685803,10,Estimation
d0,0.030605711425927887,10,Estimation
d_d0,0.07735700102554059,10,Estimation
b1,0.08745947547832386,10,Estimation
d1,0.0884671823112635,10,Estimation
mu,0.0013716111408234243,11,Estimation
h_mu,5.642485704225903e-05,11,Estimation
nu,0.01088596978236408,11,Estimation
h_nu,0.0,11,Estimation
b0,0.06956124447873542,11,Estimation
d0,0.03043603231999393,11,Estimation
d_d0,0.08061674482340495,11,Estimation
b1,0.05054842616826405,11,Estimation
d1,0.04945055326060044,11,Estimation
mu,0.002242765357439495,12,Estimation
h_mu,1.5231965000762835e-05,12,Estimation
nu,0.009731961840173805,12,Estimation
h_nu,-9.732686986821893e-05,12,Estimation
b0,0.07030397747266141,12,Estimation
d0,0.029687509613950617,12,Estimation
d_d0,0.08353712096749155,12,Estimation
b1,0.0519661417971579,12,Estimation
d1,0.04803287411982614,12,Estimation
mu,0.0013451314990255239,13,Estimation
h_mu,3.872138117354868e-05,13,Estimation
nu,0.011862129869763826,13,Estimation
h_nu,-0.00012983445674182893,13,Estimation
b0,0.07007587505543614,13,Estimation
d0,0.029921261388297312,13,Estimation
d_d0,0.08164213845628554,13,Estimation
b1,0.05135371331480859,13,Estimation
d1,0.04864592041901255,13,Estimation
mu,0.0,14,Estimation
h_mu,4.756745979898544e-05,14,Estimation
nu,0.003105890601819018,14,Estimation
h_nu,-0.1,14,Estimation
b0,0.06994993725292177,14,Estimation
d0,0.030049979021803255,14,Estimation
d_d0,0.07834170725947318,14,Estimation
b1,0.0004730394113306561,14,Estimation
d1,0.0019286450592283847,14,Estimation
mu,0.0008216071436318447,15,Estimation
h_mu,4.131082642487471e-05,15,Estimation
nu,0.0002765099687771826,15,Estimation
h_nu,0.0,15,Estimation
b0,0.07078164344214172,15,Estimation
d0,0.029182555878001296,15,Estimation
d_d0,0.08094058853747253,15,Estimation
b1,0.04943607646131529,15,Estimation
d1,0.05055988235097871,15,Estimation
mu,0.0009461211014782713,16,Estimation
h_mu,2.6382113057720577e-05,16,Estimation
