Parameter,Value,Run,Type
mu,0.0004089011011450685,0,Estimation
h_mu,4.446953785608825e-05,0,Estimation
nu,0.0,0,Estimation
b0,0.07344367806879627,0,Estimation
d0,0.03356159693476621,0,Estimation
d_d0,0.079705966064595,0,Estimation
b1,0.048601775224517904,0,Estimation
d1,0.05118680852459465,0,Estimation
mu,0.00043273798542838677,1,Estimation
h_mu,4.25202666515356e-05,1,Estimation
nu,0.0,1,Estimation
b0,0.05419883330475122,1,Estimation
d0,0.014176438330292161,1,Estimation
d_d0,0.07933503896446784,1,Estimation
b1,0.059715586081166484,1,Estimation
d1,0.062303549093182205,1,Estimation
mu,0.0003956838480244761,2,Estimation
h_mu,3.9978234659106446e-05,2,Estimation
nu,0.0033049527294966375,2,Estimation
b0,0.043004347228833985,2,Estimation
d0,0.002916433829387527,2,Estimation
d_d0,0.07979126562189262,2,Estimation
b1,0.051690069005118626,2,Estimation
d1,0.05125420244634105,2,Estimation
mu,0.00042217537481576263,3,Estimation
h_mu,3.730500565183985e-05,3,Estimation
nu,0.008327627197768342,3,Estimation
b0,0.06989951887858159,3,Estimation
d0,0.030177249399355288,3,Estimation
d_d0,0.08034122509349383,3,Estimation
b1,0.09151194087749447,3,Estimation
d1,0.08675152423129125,3,Estimation
mu,0.00042550595867247746,4,Estimation
h_mu,4.543139265514235e-05,4,Estimation
nu,0.0,4,Estimation
b0,0.059360180046229,4,Estimation
d0,0.019356859664983656,4,Estimation
d_d0,0.07967390387491385,4,Estimation
b1,0.048581220624793156,4,Estimation
d1,0.05129722300076207,4,Estimation
mu,0.0003671369853632014,5,Estimation
h_mu,3.5708646925313725e-05,5,Estimation
nu,0.007653836773434768,5,Estimation
b0,0.05106914298010401,5,Estimation
d0,0.011335094913792783,5,Estimation
d_d0,0.0795646613535686,5,Estimation
b1,0.05218468835367936,5,Estimation
d1,0.04770053934923072,5,Estimation
mu,0.0004013732468454112,6,Estimation
h_mu,3.827010783379583e-05,6,Estimation
nu,0.003927967222097986,6,Estimation
b0,0.05138254032962786,6,Estimation
d0,0.011393344121270988,6,Estimation
d_d0,0.07984516251306131,6,Estimation
b1,0.05044104115641328,6,Estimation
d1,0.04944102108644799,6,Estimation
mu,0.00044549367514032655,7,Estimation
h_mu,4.030056476595941e-05,7,Estimation
nu,6.715153761631893e-05,7,Estimation
b0,0.07008721009465216,7,Estimation
d0,0.029868277268422824,7,Estimation
d_d0,0.07974751585702186,7,Estimation
b1,0.0934656459075527,7,Estimation
d1,0.09588080344791174,7,Estimation
mu,0.00045001980328298577,8,Estimation
h_mu,4.410869921194432e-05,8,Estimation
nu,0.0012030299114729635,8,Estimation
b0,0.07016918697422202,8,Estimation
d0,0.02982191286464752,8,Estimation
d_d0,0.08074690299248925,8,Estimation
b1,0.09351025219075249,8,Estimation
d1,0.09529044618535061,8,Estimation
mu,0.0003588421604245881,9,Estimation
h_mu,3.565477880217829e-05,9,Estimation
nu,0.011438241366245624,9,Estimation
b0,0.06980305149136606,9,Estimation
d0,0.030083155329072547,9,Estimation
d_d0,0.07971212167927431,9,Estimation
b1,0.09628084269733814,9,Estimation
d1,0.088449096883834,9,Estimation
mu,0.0004264637792648827,10,Estimation
h_mu,4.331035952878668e-05,10,Estimation
nu,0.0010664855176373879,10,Estimation
b0,0.04486483240576167,10,Estimation
d0,0.0046765907831945695,10,Estimation
d_d0,0.0802012391242213,10,Estimation
b1,0.0490945397070689,10,Estimation
d1,0.05084938905749343,10,Estimation
mu,0.00039376202854558834,11,Estimation
h_mu,4.16554830260979e-05,11,Estimation
nu,0.0016884988320984863,11,Estimation
b0,0.06982427364166902,11,Estimation
d0,0.03016216592426351,11,Estimation
d_d0,0.07934634234539305,11,Estimation
b1,0.09222651484237705,11,Estimation
d1,0.09324593609191494,11,Estimation
mu,0.000364437922870107,12,Estimation
h_mu,3.431406118277689e-05,12,Estimation
nu,0.011374910073049433,12,Estimation
b0,0.060072692786461525,12,Estimation
d0,0.019829844377675775,12,Estimation
d_d0,0.08086183537252578,12,Estimation
b1,0.053839059547072216,12,Estimation
d1,0.04607030177661292,12,Estimation
mu,0.00039761812618796543,13,Estimation
h_mu,3.8900537476366e-05,13,Estimation
nu,0.004055155936848797,13,Estimation
b0,0.0705310124680916,13,Estimation
d0,0.03020626968123117,13,Estimation
d_d0,0.08032901632476991,13,Estimation
b1,0.05953177936684076,13,Estimation
d1,0.05845643861842136,13,Estimation
mu,0.00035304395446337237,14,Estimation
h_mu,3.8914317154591286e-05,14,Estimation
nu,0.004587655822566549,14,Estimation
b0,0.06721929987324665,14,Estimation
d0,0.027362855624599065,14,Estimation
d_d0,0.07919612584308834,14,Estimation
b1,0.05387165408873487,14,Estimation
d1,0.052123141681214895,14,Estimation
mu,0.00037148345659865687,15,Estimation
h_mu,3.6755435485156247e-05,15,Estimation
nu,0.004886797808657646,15,Estimation
b0,0.06978402443585321,15,Estimation
d0,0.030155114602739595,15,Estimation
d_d0,0.07946671291700863,15,Estimation
b1,0.1,15,Estimation
d1,0.09790741978121752,15,Estimation
f0_init,0.990371347180192,0,Estimation
f0_init,0.9898443006377523,1,Estimation
f0_init,0.9907954177260787,2,Estimation
f0_init,0.9902660282799561,3,Estimation
f0_init,0.9900394966209847,4,Estimation
f0_init,0.991455908870543,5,Estimation
f0_init,0.9906557843211624,6,Estimation
f0_init,0.9895673692505852,7,Estimation
f0_init,0.9896172724667324,8,Estimation
f0_init,0.991735880733539,9,Estimation
f0_init,0.9900869071070374,10,Estimation
f0_init,0.9907100618028218,11,Estimation
